Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data,Arthur J Gallagher Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,334.44,,30.83
2024-12-31,283.85,$10.85,26.16
2024-09-30,280.8,$10.77,26.07
2024-06-30,258.26,$10.58,24.42
2024-03-31,249.03,$9.97,24.99
2023-12-31,223.42,$8.38,26.66
2023-09-30,225.95,$8.04,28.09
2023-06-30,217.15,$7.00,31.02
2023-03-31,188.68,$6.62,28.49
2022-12-31,185.41,$5.62,32.97
2022-09-30,167.95,$3.85,43.66
2022-06-30,159.47,$3.27,48.82
2022-03-31,170.25,$5.97,28.51
2021-12-31,164.92,$6.10,27.05
2021-09-30,144.07,$7.33,19.66
2021-06-30,135.32,$7.99,16.94
2021-03-31,120.13,$9.31,12.9
2020-12-31,118.64,$8.76,13.55
2020-09-30,100.86,$8.73,11.55
2020-06-30,92.73,$7.55,12.28
2020-03-31,77.18,$6.66,11.58
2019-12-31,89.77,$5.54,16.22
2019-09-30,84.05,$4.69,17.91
2019-06-30,81.8,$3.90,20.95
2019-03-31,72.58,$4.07,17.85
2018-12-31,68.12,$3.44,19.8
2018-09-30,68.43,$3.46,19.78
2018-06-30,59.68,$4.26,14.02
2018-03-31,62.45,$2.71,23.02
2017-12-31,57.16,$3.98,14.36
2017-09-30,55.27,$3.87,14.29
2017-06-30,51.06,$3.35,15.25
2017-03-31,50.08,$2.13,23.52
2016-12-31,45.72,$2.42,18.89
2016-09-30,44.42,$3.24,13.72
2016-06-30,41.25,$3.29,12.55
2016-03-31,38.24,$3.03,12.61
2015-12-31,34.87,$3.39,10.29
2015-09-30,34.86,$2.51,13.87
2015-06-30,39.6,$1.39,28.47
2015-03-31,38.84,$2.40,16.18
2014-12-31,38.81,$2.30,16.86
2014-09-30,37.12,$1.78,20.9
2014-06-30,37.84,$3.00,12.6
2014-03-31,38.34,$2.28,16.8
2013-12-31,37.52,$2.14,17.56
2013-09-30,34.64,$2.82,12.27
2013-06-30,34.38,$2.38,14.46
2013-03-31,32.25,$3.24,9.94
2012-12-31,26.8,$2.38,11.24
2012-09-30,27.45,$1.94,14.16
2012-06-30,26.62,$1.75,15.17
2012-03-31,26.87,$1.74,15.47
2011-12-31,24.9,$2.12,11.77
2011-09-30,19.39,$1.44,13.51
2011-06-30,20.78,$1.87,11.09
2011-03-31,21.89,$1.82,12.04
2010-12-31,20.7,$1.94,10.65
2010-09-30,18.57,$1.96,9.5
2010-06-30,16.96,$1.96,8.63
2010-03-31,16.87,$2.25,7.51
2009-12-31,15.27,$1.87,8.17
