Beacon Roofing Supply Price to Free Cash Flow Ratio Historical Data,Beacon Roofing Supply Price to Free Cash Flow Ratio Historical Data,Beacon Roofing Supply Price to Free Cash Flow Ratio Historical Data,Beacon Roofing Supply Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,123.83,,26.23
2024-12-31,101.58,$4.72,21.52
2024-09-30,86.43,$3.15,27.43
2024-06-30,90.5,$2.10,43.02
2024-03-31,98.02,$6.87,14.27
2023-12-31,87.02,$10.71,8.12
2023-09-30,77.17,$11.36,6.79
2023-06-30,82.98,$12.59,6.59
2023-03-31,58.85,$8.48,6.94
2022-12-31,52.79,$4.62,11.42
2022-09-30,54.72,$-0.15,0.0
2022-06-30,51.36,$-2.71,0.0
2022-03-31,59.28,$-0.79,0.0
2021-12-31,57.35,$0.39,146.45
2021-09-30,47.76,$0.21,230.84
2021-06-30,53.25,$-4.14,0.0
2021-03-31,52.32,$0.34,155.95
2020-12-31,40.19,$-0.81,0.0
2020-09-30,31.07,$-2.00,0.0
2020-06-30,26.37,$4.59,5.75
2020-03-31,16.54,$-0.63,0.0
2019-12-31,31.98,$-2.00,0.0
2019-09-30,33.53,$-5.10,0.0
2019-06-30,36.72,$-7.96,0.0
2019-03-31,32.16,$-9.23,0.0
2018-12-31,31.72,$-5.10,0.0
2018-09-30,36.19,$-0.69,0.0
2018-06-30,42.62,$-1.91,0.0
2018-03-31,53.07,$-2.58,0.0
2017-12-31,63.76,$-0.69,0.0
2017-09-30,51.25,$1.17,43.87
2017-06-30,49.0,$1.00,48.99
2017-03-31,49.16,$2.11,23.3
2016-12-31,46.07,$1.17,39.44
2016-09-30,42.07,$0.71,59.0
2016-06-30,45.47,$1.64,27.81
2016-03-31,41.01,$0.73,56.0
2015-12-31,41.18,$0.71,57.76
2015-09-30,32.49,$0.74,43.72
2015-06-30,33.22,$2.15,15.45
2015-03-31,31.3,$1.40,22.32
2014-12-31,27.8,$0.74,37.41
2014-09-30,25.48,$0.98,25.93
2014-06-30,33.12,$-1.11,0.0
2014-03-31,38.66,$1.27,30.5
2013-12-31,40.28,$0.98,40.98
2013-09-30,36.87,$0.91,40.5
2013-06-30,37.88,$1.06,35.74
2013-03-31,38.66,$-0.40,0.0
2012-12-31,33.28,$0.91,36.56
2012-09-30,28.48,$1.21,23.49
2012-06-30,25.22,$1.09,23.14
2012-03-31,25.76,$1.30,19.88
2011-12-31,20.23,$1.21,16.69
2011-09-30,15.99,$1.25,12.82
2011-06-30,22.82,$1.42,16.11
2011-03-31,20.47,$2.19,9.33
2010-12-31,17.87,$1.25,14.33
2010-09-30,14.57,$0.63,23.0
2010-06-30,18.02,$-0.53,0.0
2010-03-31,19.13,$-0.66,0.0
2009-12-31,16.0,$0.63,25.26
