Bank Of The James Financial Price to Free Cash Flow Ratio Historical Data,Bank Of The James Financial Price to Free Cash Flow Ratio Historical Data,Bank Of The James Financial Price to Free Cash Flow Ratio Historical Data,Bank Of The James Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.7,,8.56
2024-09-30,13.65,$1.72,7.94
2024-06-30,11.1,$1.58,7.04
2024-03-31,10.12,$0.47,21.32
2023-12-31,11.84,$1.85,6.38
2023-09-30,10.09,$1.89,5.33
2023-06-30,8.68,$2.10,4.13
2023-03-31,9.94,$3.38,2.94
2022-12-31,11.19,$1.74,6.45
2022-09-30,11.8,$2.20,5.36
2022-06-30,12.06,$1.49,8.09
2022-03-31,13.74,$1.14,12.1
2021-12-31,14.2,$2.91,4.88
2021-09-30,13.17,$2.87,4.59
2021-06-30,14.56,$2.38,6.13
2021-03-31,11.62,$1.92,6.06
2020-12-31,9.94,$0.90,11.07
2020-09-30,7.96,$0.17,45.86
2020-06-30,7.66,$0.71,10.83
2020-03-31,7.04,$0.61,11.61
2019-12-31,12.23,$0.37,33.42
2019-09-30,11.38,$0.11,107.42
2019-06-30,11.69,$1.17,9.96
2019-03-31,10.82,$1.09,9.96
2018-12-31,10.21,$1.48,6.91
2018-09-30,12.42,$1.25,9.91
2018-06-30,12.95,$0.47,27.6
2018-03-31,11.92,$0.65,18.23
2017-12-31,11.59,$1.10,10.51
2017-09-30,11.21,$0.82,13.67
2017-06-30,11.53,$0.91,12.63
2017-03-31,11.22,$0.91,12.29
2016-12-31,11.59,$0.23,50.81
2016-09-30,9.25,$1.05,8.78
2016-06-30,9.28,$0.58,16.03
2016-03-31,8.83,$0.39,22.36
2015-12-31,9.7,$0.58,16.77
2015-09-30,8.37,$0.41,20.26
2015-06-30,8.43,$1.05,8.07
2015-03-31,8.15,$1.21,6.74
2014-12-31,7.58,$1.29,5.9
2014-09-30,6.59,$1.06,6.25
2014-06-30,6.48,$0.72,8.95
2014-03-31,6.69,$1.01,6.62
2013-12-31,6.72,$1.27,5.28
2013-09-30,5.9,$2.09,2.82
2013-06-30,5.61,$1.38,4.07
2013-03-31,5.23,$1.47,3.56
2012-12-31,4.13,$1.61,2.56
2012-09-30,4.0,$1.57,2.56
2012-06-30,3.89,$2.57,1.51
2012-03-31,3.91,$2.70,1.45
2011-12-31,3.19,$2.49,1.28
2011-09-30,2.71,$2.38,1.14
2011-06-30,3.98,$2.14,1.86
2011-03-31,3.84,$2.06,1.87
2010-12-31,4.71,$2.21,2.13
2010-09-30,5.25,$1.27,4.12
2010-06-30,5.83,$1.05,5.55
2010-03-31,5.59,$0.52,10.72
2009-12-31,4.87,$-0.52,0.0
