Lexicon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lexicon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lexicon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Lexicon Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.34,,0.0
2024-12-31,0.74,$-0.56,0.0
2024-09-30,1.57,$-0.71,0.0
2024-06-30,1.68,$-0.73,0.0
2024-03-31,2.4,$-0.79,0.0
2023-12-31,1.53,$-0.73,0.0
2023-09-30,1.09,$-0.62,0.0
2023-06-30,2.29,$-0.57,0.0
2023-03-31,2.43,$-0.56,0.0
2022-12-31,1.91,$-0.54,0.0
2022-09-30,2.4,$-0.54,0.0
2022-06-30,1.86,$-0.59,0.0
2022-03-31,2.09,$-0.59,0.0
2021-12-31,3.94,$-0.61,0.0
2021-09-30,4.81,$-0.71,0.0
2021-06-30,4.59,$-0.89,0.0
2021-03-31,5.87,$-1.16,0.0
2020-12-31,3.42,$-1.19,0.0
2020-09-30,1.44,$-1.14,0.0
2020-06-30,2.0,$0.83,2.4
2020-03-31,1.95,$1.01,1.93
2019-12-31,4.15,$0.97,4.26
2019-09-30,3.01,$0.93,3.25
2019-06-30,6.29,$-0.96,0.0
2019-03-31,5.56,$-1.20,0.0
2018-12-31,6.64,$-1.41,0.0
2018-09-30,10.67,$-1.47,0.0
2018-06-30,12.0,$-1.58,0.0
2018-03-31,8.57,$-1.39,0.0
2017-12-31,9.88,$-1.76,0.0
2017-09-30,12.29,$-1.91,0.0
2017-06-30,16.45,$-1.93,0.0
2017-03-31,14.34,$-2.09,0.0
2016-12-31,13.83,$-1.69,0.0
2016-09-30,18.07,$1.34,13.46
2016-06-30,14.35,$1.43,10.01
2016-03-31,11.95,$1.58,7.55
2015-12-31,13.31,$1.78,7.49
2015-09-30,10.74,$-0.81,0.0
2015-06-30,8.05,$-0.84,0.0
2015-03-31,6.61,$-0.79,0.0
2014-12-31,6.37,$-0.96,0.0
2014-09-30,9.87,$-1.24,0.0
2014-06-30,11.27,$-1.29,0.0
2014-03-31,12.11,$-1.32,0.0
2013-12-31,12.59,$-1.26,0.0
2013-09-30,16.66,$-1.26,0.0
2013-06-30,15.19,$-1.27,0.0
2013-03-31,15.26,$-1.30,0.0
2012-12-31,15.47,$-1.36,0.0
2012-09-30,16.24,$-1.52,0.0
2012-06-30,15.72,$-1.59,0.0
2012-03-31,13.02,$-1.72,0.0
2011-12-31,9.03,$-1.78,0.0
2011-09-30,6.44,$-1.93,0.0
2011-06-30,12.32,$-1.90,0.0
2011-03-31,11.76,$-1.60,0.0
2010-12-31,10.08,$-1.93,0.0
2010-09-30,11.2,$-1.95,0.0
2010-06-30,8.96,$-2.56,0.0
2010-03-31,10.43,$-3.64,0.0
2009-12-31,11.9,$-4.29,0.0
