8x8 Inc Price to Free Cash Flow Ratio Historical Data,8x8 Inc Price to Free Cash Flow Ratio Historical Data,8x8 Inc Price to Free Cash Flow Ratio Historical Data,8x8 Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.18,,5.11
2024-12-31,2.67,$0.43,6.26
2024-09-30,2.04,$0.40,5.09
2024-06-30,2.22,$0.43,5.11
2024-03-31,2.7,$0.51,5.27
2023-12-31,3.78,$0.50,7.59
2023-09-30,2.52,$0.47,5.42
2023-06-30,4.23,$0.47,9.08
2023-03-31,4.17,$0.29,14.27
2022-12-31,4.32,$0.32,13.51
2022-09-30,3.45,$0.25,13.84
2022-06-30,5.15,$0.14,36.27
2022-03-31,12.59,$0.09,140.36
2021-12-31,16.76,$-0.07,0.0
2021-09-30,23.39,$-0.19,0.0
2021-06-30,27.76,$-0.30,0.0
2021-03-31,32.44,$-0.47,0.0
2020-12-31,34.47,$-0.93,0.0
2020-09-30,15.55,$-1.26,0.0
2020-06-30,16.0,$-1.50,0.0
2020-03-31,13.86,$-1.61,0.0
2019-12-31,18.3,$-1.29,0.0
2019-09-30,20.72,$-1.00,0.0
2019-06-30,24.1,$-0.78,0.0
2019-03-31,20.2,$-0.52,0.0
2018-12-31,18.04,$-0.36,0.0
2018-09-30,21.25,$-0.22,0.0
2018-06-30,20.05,$-0.07,0.0
2018-03-31,18.65,$0.00,0.0
2017-12-31,14.1,$0.07,196.38
2017-09-30,13.5,$0.12,116.38
2017-06-30,14.55,$0.13,113.41
2017-03-31,15.25,$0.16,97.63
2016-12-31,14.3,$0.19,73.48
2016-09-30,15.43,$0.20,76.96
2016-06-30,14.61,$0.20,73.31
2016-03-31,10.06,$0.19,53.68
2015-12-31,11.45,$0.19,61.16
2015-09-30,8.27,$0.14,57.31
2015-06-30,8.96,$0.16,57.44
2015-03-31,8.4,$0.16,52.4
2014-12-31,9.16,$0.13,72.07
2014-09-30,6.68,$0.11,60.78
2014-06-30,8.08,$0.12,67.62
2014-03-31,10.81,$0.14,78.05
2013-12-31,10.15,$0.18,57.25
2013-09-30,10.07,$0.24,41.32
2013-06-30,8.24,$0.22,37.75
2013-03-31,6.85,$0.35,19.74
2012-12-31,7.38,$0.31,23.69
2012-09-30,6.56,$0.26,24.77
2012-06-30,4.2,$0.26,16.4
2012-03-31,4.2,$0.10,42.64
2011-12-31,3.17,$0.09,36.44
2011-09-30,4.06,$0.08,50.94
2011-06-30,4.89,$0.11,46.0
2011-03-31,2.81,$0.10,28.3
2010-12-31,2.38,$0.09,26.44
2010-09-30,2.15,$0.08,27.89
2010-06-30,1.25,$0.06,20.97
2010-03-31,1.45,$0.02,63.6
2009-12-31,1.5,$0.03,46.73
