Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data,Lakeland Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,60.8,,16.69
2024-12-31,68.76,$3.64,18.88
2024-09-30,64.63,$3.21,20.15
2024-06-30,60.64,$4.54,13.37
2024-03-31,64.88,$4.12,15.75
2023-12-31,63.26,$4.20,15.07
2023-09-30,45.63,$4.51,10.11
2023-06-30,46.27,$4.23,10.94
2023-03-31,59.25,$5.57,10.64
2022-12-31,68.59,$6.40,10.72
2022-09-30,68.08,$6.15,11.06
2022-06-30,61.76,$5.48,11.26
2022-03-31,67.52,$5.17,13.07
2021-12-31,73.76,$4.20,17.56
2021-09-30,65.28,$4.13,15.81
2021-06-30,56.15,$3.91,14.37
2021-03-31,62.71,$3.38,18.53
2020-12-31,48.29,$3.21,15.03
2020-09-30,36.9,$3.25,11.37
2020-06-30,41.46,$3.46,11.98
2020-03-31,32.43,$3.41,9.51
2019-12-31,42.91,$3.57,12.01
2019-09-30,38.32,$3.63,10.55
2019-06-30,40.53,$3.75,10.81
2019-03-31,38.89,$3.65,10.67
2018-12-31,34.34,$3.79,9.06
2018-09-30,39.48,$3.59,10.99
2018-06-30,40.63,$3.13,12.97
2018-03-31,38.77,$2.90,13.38
2017-12-31,40.49,$2.64,15.36
2017-09-30,40.5,$2.21,18.32
2017-06-30,37.96,$2.00,18.96
2017-03-31,35.5,$2.17,16.38
2016-12-31,38.82,$2.06,18.86
2016-09-30,28.87,$1.97,14.69
2016-06-30,16.94,$2.15,7.88
2016-03-31,16.39,$1.89,8.68
2015-12-31,16.59,$1.87,8.85
2015-09-30,15.98,$1.99,8.02
2015-06-30,15.27,$1.89,8.1
2015-03-31,14.2,$1.96,7.26
2014-12-31,15.13,$1.91,7.93
2014-09-30,12.98,$1.87,6.92
2014-06-30,13.13,$1.98,6.62
2014-03-31,13.77,$1.86,7.42
2013-12-31,13.28,$2.22,5.97
2013-09-30,11.06,$2.31,4.79
2013-06-30,9.34,$2.19,4.26
2013-03-31,8.92,$2.32,3.85
2012-12-31,8.63,$1.93,4.48
2012-09-30,9.1,$1.78,5.11
2012-06-30,8.79,$1.64,5.36
2012-03-31,8.47,$1.56,5.42
2011-12-31,8.37,$1.83,4.58
2011-09-30,6.64,$1.92,3.46
2011-06-30,7.11,$1.97,3.61
2011-03-31,7.19,$1.86,3.86
2010-12-31,6.76,$1.75,3.85
2010-09-30,5.83,$1.11,5.25
2010-06-30,6.19,$1.29,4.79
2010-03-31,5.86,$1.55,3.77
2009-12-31,5.26,$1.18,4.45
