"ACELYRIN, INC Price to Free Cash Flow Ratio Historical Data","ACELYRIN, INC Price to Free Cash Flow Ratio Historical Data","ACELYRIN, INC Price to Free Cash Flow Ratio Historical Data","ACELYRIN, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.77,,0.0
2024-12-31,3.14,$-3.00,0.0
2024-09-30,4.93,$-3.24,0.0
2024-06-30,4.41,$-2.52,0.0
2024-03-31,6.75,$-3.11,0.0
