Cango Price to Free Cash Flow Ratio Historical Data,Cango Price to Free Cash Flow Ratio Historical Data,Cango Price to Free Cash Flow Ratio Historical Data,Cango Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.94,,3.32
2024-09-30,1.78,$1.19,1.5
2024-06-30,1.67,$1.19,1.41
2024-03-31,1.52,$1.19,1.28
2023-12-31,1.02,$1.19,0.86
2023-09-30,1.19,$-0.61,0.0
2023-06-30,1.17,$-0.61,0.0
2023-03-31,1.14,$-0.61,0.0
2022-12-31,1.31,$-0.61,0.0
2022-09-30,1.43,$-0.46,0.0
2022-06-30,1.39,$-0.46,0.0
2022-03-31,0.91,$-0.46,0.0
2021-12-31,1.11,$-0.46,0.0
2021-09-30,1.42,$-0.63,0.0
2021-06-30,1.97,$-0.63,0.0
2021-03-31,2.96,$-0.63,0.0
2020-12-31,2.21,$-0.63,0.0
2020-09-30,1.75,$0.36,4.88
2020-06-30,1.91,$0.36,5.31
2020-03-31,1.68,$0.36,4.68
2019-12-31,2.75,$0.36,7.66
2019-09-30,1.62,$0.18,9.18
2019-06-30,2.08,$0.18,11.8
