Aterian Price to Free Cash Flow Ratio Historical Data,Aterian Price to Free Cash Flow Ratio Historical Data,Aterian Price to Free Cash Flow Ratio Historical Data,Aterian Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.35,,0.0
2024-09-30,2.88,$-0.46,0.0
2024-06-30,2.81,$-0.29,0.0
2024-03-31,2.76,$-0.92,0.0
2023-12-31,4.18,$-2.07,0.0
2023-09-30,3.92,$-0.46,0.0
2023-06-30,5.52,$-0.00,0.0
2023-03-31,10.32,$-1.07,0.0
2022-12-31,9.24,$-2.78,0.0
2022-09-30,14.88,$3.49,4.27
2022-06-30,25.92,$4.89,5.3
2022-03-31,29.16,$-10.24,0.0
2021-12-31,49.32,$-18.26,0.0
2021-09-30,129.96,$-34.12,0.0
2021-06-30,175.56,$-33.63,0.0
2021-03-31,354.0,$-10.66,0.0
2020-12-31,206.52,$-13.28,0.0
2020-09-30,99.0,$-17.60,0.0
2020-06-30,65.88,$-14.44,0.0
2020-03-31,20.28,$-37.04,0.0
