Alto Ingredients Price to Free Cash Flow Ratio Historical Data,Alto Ingredients Price to Free Cash Flow Ratio Historical Data,Alto Ingredients Price to Free Cash Flow Ratio Historical Data,Alto Ingredients Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.22,,0.0
2024-12-31,1.56,$-0.19,0.0
2024-09-30,1.61,$0.05,30.96
2024-06-30,1.45,$0.02,70.83
2024-03-31,2.18,$0.30,7.27
2023-12-31,2.66,$-0.10,0.0
2023-09-30,4.42,$-0.32,0.0
2023-06-30,2.89,$-1.01,0.0
2023-03-31,1.5,$-1.01,0.0
2022-12-31,2.88,$-0.44,0.0
2022-09-30,3.64,$-0.00,0.0
2022-06-30,3.71,$0.30,12.52
2022-03-31,6.82,$0.39,17.51
2021-12-31,4.81,$0.14,33.29
2021-09-30,4.94,$-0.04,0.0
2021-06-30,6.11,$0.49,12.54
2021-03-31,5.43,$0.68,7.96
2020-12-31,5.43,$1.28,4.24
2020-09-30,7.31,$1.03,7.07
2020-06-30,0.71,$0.63,1.12
2020-03-31,0.26,$0.10,2.53
2019-12-31,0.65,$-0.73,0.0
2019-09-30,0.56,$-1.28,0.0
2019-06-30,0.77,$-0.83,0.0
2019-03-31,0.98,$-0.77,0.0
2018-12-31,0.86,$-0.31,0.0
2018-09-30,1.9,$0.18,10.34
2018-06-30,2.6,$0.10,25.92
2018-03-31,3.0,$0.28,10.57
2017-12-31,4.55,$0.37,12.43
2017-09-30,5.55,$0.94,5.92
2017-06-30,6.25,$0.79,7.93
2017-03-31,6.85,$0.86,8.0
2016-12-31,9.5,$0.43,22.23
2016-09-30,6.91,$-0.60,0.0
2016-06-30,5.45,$-1.58,0.0
2016-03-31,4.68,$-1.67,0.0
2015-12-31,4.78,$-1.46,0.0
2015-09-30,6.49,$-0.25,0.0
2015-06-30,10.32,$1.27,8.13
2015-03-31,10.79,$1.98,5.46
2014-12-31,10.33,$3.31,3.12
2014-09-30,13.96,$3.33,4.19
2014-06-30,15.29,$3.23,4.74
2014-03-31,15.58,$2.80,5.56
2013-12-31,5.09,$0.83,6.12
2013-09-30,3.51,$-1.22,0.0
2013-06-30,3.98,$-2.20,0.0
2013-03-31,5.06,$-3.24,0.0
2012-12-31,4.74,$-3.20,0.0
2012-09-30,5.85,$-0.47,0.0
2012-06-30,5.33,$9.57,0.56
2012-03-31,16.5,$3.41,4.84
2011-12-31,15.9,$-2.79,0.0
2011-09-30,4.34,$-28.25,0.0
2011-06-30,16.2,$-44.45,0.0
2011-03-31,66.15,$-36.49,0.0
2010-12-31,75.78,$-42.10,0.0
2010-09-30,93.66,$-15.26,0.0
2010-06-30,67.2,$-11.21,0.0
2010-03-31,116.55,$-29.86,0.0
2009-12-31,74.55,$-19.49,0.0
