ZimVie Price to Free Cash Flow Ratio Historical Data,ZimVie Price to Free Cash Flow Ratio Historical Data,ZimVie Price to Free Cash Flow Ratio Historical Data,ZimVie Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.6,,36.07
2024-12-31,13.95,$0.32,43.38
2024-09-30,15.87,$0.41,39.0
2024-06-30,18.25,$1.16,15.79
2024-03-31,16.49,$1.05,15.72
2023-12-31,17.75,$1.16,15.33
2023-09-30,9.41,$-0.14,0.0
2023-06-30,11.23,$-1.01,0.0
2023-03-31,7.23,$0.43,16.97
2022-12-31,9.34,$0.31,29.81
