Viomi Technology Price to Free Cash Flow Ratio Historical Data,Viomi Technology Price to Free Cash Flow Ratio Historical Data,Viomi Technology Price to Free Cash Flow Ratio Historical Data,Viomi Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.93,,0.0
2022-12-31,1.07,$-1.00,0.0
2022-09-30,1.24,$0.44,2.83
2022-06-30,1.72,$0.44,3.92
2022-03-31,1.74,$0.44,3.97
2021-12-31,2.42,$0.44,5.52
2021-09-30,4.56,$0.29,15.6
2021-06-30,8.49,$0.29,29.04
2021-03-31,9.0,$0.29,30.78
2020-12-31,5.15,$0.29,17.61
2020-09-30,6.05,$0.36,16.7
2020-06-30,5.3,$0.36,14.63
2020-03-31,4.35,$0.32,13.68
2019-12-31,8.04,$0.36,22.19
2019-09-30,8.15,$0.42,19.36
2019-06-30,8.11,$0.42,19.26
