Red Robin Gourmet Burgers Price to Free Cash Flow Ratio Historical Data,Red Robin Gourmet Burgers Price to Free Cash Flow Ratio Historical Data,Red Robin Gourmet Burgers Price to Free Cash Flow Ratio Historical Data,Red Robin Gourmet Burgers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.33,,0.0
2024-12-31,5.49,$-1.14,0.0
2024-09-30,4.41,$-2.90,0.0
2024-06-30,7.57,$-2.60,0.0
2024-03-31,7.66,$-2.77,0.0
2023-12-31,12.47,$-3.04,0.0
2023-09-30,8.04,$-2.11,0.0
2023-06-30,13.83,$-1.36,0.0
2023-03-31,14.32,$0.22,65.96
2022-12-31,5.58,$0.38,14.82
2022-09-30,6.73,$0.49,13.76
2022-06-30,8.03,$-0.04,0.0
2022-03-31,16.86,$-0.31,0.0
2021-12-31,16.53,$0.32,51.26
2021-09-30,23.06,$3.39,6.8
2021-06-30,33.11,$3.79,8.75
2021-03-31,39.89,$2.49,15.99
2020-12-31,19.23,$-0.08,0.0
2020-09-30,13.16,$-2.96,0.0
2020-06-30,10.2,$-3.71,0.0
2020-03-31,8.52,$-2.81,0.0
2019-12-31,33.02,$0.07,483.46
2019-09-30,33.26,$2.80,11.9
2019-06-30,30.57,$3.65,8.38
2019-03-31,28.81,$3.90,7.39
2018-12-31,26.72,$5.89,4.53
2018-09-30,40.15,$4.75,8.45
2018-06-30,46.6,$4.64,10.05
2018-03-31,58.0,$5.29,10.97
2017-12-31,56.4,$5.64,10.0
2017-09-30,67.0,$3.03,22.14
2017-06-30,65.25,$2.34,27.84
2017-03-31,58.45,$-0.28,0.0
2016-12-31,56.4,$-4.49,0.0
2016-09-30,44.94,$-3.29,0.0
2016-06-30,47.43,$-3.97,0.0
2016-03-31,64.47,$-2.79,0.0
2015-12-31,61.74,$-1.78,0.0
2015-09-30,75.74,$-0.75,0.0
2015-06-30,85.82,$0.79,108.44
2015-03-31,87.0,$0.60,143.83
2014-12-31,76.98,$1.10,70.03
2014-09-30,56.9,$0.70,80.98
2014-06-30,71.2,$0.18,399.33
2014-03-31,71.68,$1.33,53.99
2013-12-31,73.54,$2.39,30.79
2013-09-30,71.1,$2.28,31.23
2013-06-30,55.18,$3.35,16.49
2013-03-31,45.6,$2.93,15.58
2012-12-31,35.29,$2.35,15.04
2012-09-30,32.59,$2.89,11.3
2012-06-30,30.51,$2.84,10.75
2012-03-31,37.19,$3.22,11.56
2011-12-31,27.7,$3.36,8.24
2011-09-30,24.09,$3.33,7.23
2011-06-30,36.38,$3.38,10.75
2011-03-31,26.89,$2.75,9.78
2010-12-31,21.47,$2.27,9.46
2010-09-30,19.61,$2.72,7.21
2010-06-30,17.16,$2.78,6.16
2010-03-31,24.44,$3.35,7.3
2009-12-31,17.9,$2.72,6.58
