Bally's Price to Free Cash Flow Ratio Historical Data,Bally's Price to Free Cash Flow Ratio Historical Data,Bally's Price to Free Cash Flow Ratio Historical Data,Bally's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,17.78,,0.0
2024-09-30,17.25,$-1.18,0.0
2024-06-30,11.97,$-1.77,0.0
2024-03-31,13.94,$-1.96,0.0
2023-12-31,13.94,$-2.30,0.0
2023-09-30,13.11,$-2.77,0.0
2023-06-30,15.56,$-0.82,0.0
2023-03-31,19.52,$0.49,40.19
2022-12-31,19.38,$1.01,19.18
2022-09-30,19.76,$0.60,32.79
2022-06-30,19.78,$0.53,36.99
2022-03-31,30.74,$-1.15,0.0
2021-12-31,38.06,$-0.30,0.0
2021-09-30,50.14,$0.47,105.8
2021-06-30,54.11,$0.82,66.01
2021-03-31,64.98,$-0.02,0.0
2020-12-31,50.23,$0.13,372.9
2020-09-30,26.27,$0.21,123.22
2020-06-30,22.29,$0.10,214.53
2020-03-31,13.01,$1.74,7.48
2019-12-31,25.54,$1.74,14.66
