Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data,Matador Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.31,,8.69
2024-12-31,56.26,$6.02,9.35
2024-09-30,49.21,$6.06,8.12
2024-06-30,59.14,$4.89,12.08
2024-03-31,66.04,$4.56,14.47
2023-12-31,56.05,$4.34,12.92
2023-09-30,58.42,$4.20,13.9
2023-06-30,51.26,$6.51,7.87
2023-03-31,46.52,$9.58,4.85
2022-12-31,55.73,$9.76,5.71
2022-09-30,47.56,$9.85,4.83
2022-06-30,45.22,$8.14,5.55
2022-03-31,51.37,$5.16,9.95
2021-12-31,35.76,$4.72,7.57
2021-09-30,36.8,$3.49,10.53
2021-06-30,34.81,$1.37,25.5
2021-03-31,22.65,$-0.53,0.0
2020-12-31,11.63,$-1.94,0.0
2020-09-30,7.97,$-2.50,0.0
2020-06-30,8.2,$-2.55,0.0
2020-03-31,2.39,$-2.06,0.0
2019-12-31,17.34,$-2.57,0.0
2019-09-30,15.95,$2.18,7.33
2019-06-30,19.18,$-1.83,0.0
2019-03-31,18.65,$-2.81,0.0
2018-12-31,14.98,$-2.23,0.0
2018-09-30,31.88,$-8.20,0.0
2018-06-30,28.99,$-4.71,0.0
2018-03-31,28.86,$-4.21,0.0
2017-12-31,30.03,$-5.07,0.0
2017-09-30,26.19,$-4.57,0.0
2017-06-30,20.62,$-4.19,0.0
2017-03-31,22.95,$-4.10,0.0
2016-12-31,24.85,$-3.45,0.0
2016-09-30,23.48,$-2.11,0.0
2016-06-30,19.1,$-1.67,0.0
2016-03-31,18.29,$-2.15,0.0
2015-12-31,19.07,$-1.83,0.0
2015-09-30,20.01,$-3.70,0.0
2015-06-30,24.12,$-4.61,0.0
2015-03-31,21.15,$-4.21,0.0
2014-12-31,19.52,$-4.49,0.0
2014-09-30,24.94,$-4.00,0.0
2014-06-30,28.25,$-3.31,0.0
2014-03-31,23.63,$-3.17,0.0
2013-12-31,17.98,$-3.19,0.0
2013-09-30,15.75,$-3.20,0.0
2013-06-30,11.56,$-3.49,0.0
2013-03-31,8.55,$-3.39,0.0
2012-12-31,7.91,$-3.41,0.0
