Glimpse Price to Free Cash Flow Ratio Historical Data,Glimpse Price to Free Cash Flow Ratio Historical Data,Glimpse Price to Free Cash Flow Ratio Historical Data,Glimpse Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.23,,0.0
2024-12-31,2.47,$-0.12,0.0
2024-09-30,0.76,$-0.22,0.0
2024-06-30,1.02,$-0.31,0.0
2024-03-31,1.12,$-0.19,0.0
2023-12-31,1.13,$-0.53,0.0
2023-09-30,1.84,$-0.55,0.0
2023-06-30,3.56,$-0.67,0.0
2023-03-31,3.76,$-0.84,0.0
2022-12-31,3.03,$-0.57,0.0
2022-09-30,5.29,$-0.57,0.0
2022-06-30,3.98,$-0.44,0.0
