EGain Price to Free Cash Flow Ratio Historical Data,EGain Price to Free Cash Flow Ratio Historical Data,EGain Price to Free Cash Flow Ratio Historical Data,EGain Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.82,,33.92
2024-12-31,6.23,$0.14,43.84
2024-09-30,5.1,$0.17,30.67
2024-06-30,6.31,$0.39,16.2
2024-03-31,6.45,$0.41,15.82
2023-12-31,8.33,$0.38,22.0
2023-09-30,6.13,$0.36,16.84
2023-06-30,7.49,$0.13,56.7
2023-03-31,7.59,$0.35,21.95
2022-12-31,9.03,$0.34,26.29
2022-09-30,7.35,$0.04,172.54
2022-06-30,9.75,$0.24,41.05
2022-03-31,11.58,$0.44,26.45
2021-12-31,9.98,$0.38,26.19
2021-09-30,10.2,$0.45,22.48
2021-06-30,11.48,$0.41,27.8
2021-03-31,9.49,$0.31,30.33
2020-12-31,11.81,$0.35,33.98
2020-09-30,14.17,$0.51,27.54
2020-06-30,11.11,$0.42,26.22
2020-03-31,7.33,$0.21,34.12
2019-12-31,7.92,$0.33,24.09
2019-09-30,8.01,$0.19,41.5
2019-06-30,8.14,$0.22,37.7
2019-03-31,10.45,$0.19,54.54
2018-12-31,6.57,$0.06,103.14
2018-09-30,8.1,$0.13,64.29
2018-06-30,15.1,$0.24,63.96
2018-03-31,7.95,$0.44,17.99
2017-12-31,5.25,$0.55,9.62
2017-09-30,2.7,$0.31,8.74
2017-06-30,1.65,$0.18,9.11
2017-03-31,1.45,$0.12,12.55
2016-12-31,2.1,$-0.01,0.0
2016-09-30,3.09,$0.35,8.93
2016-06-30,2.82,$0.05,57.79
2016-03-31,3.55,$-0.17,0.0
2015-12-31,4.26,$-0.11,0.0
2015-09-30,3.97,$-0.40,0.0
2015-06-30,5.01,$-0.42,0.0
2015-03-31,3.3,$-0.37,0.0
2014-12-31,5.18,$-0.57,0.0
2014-09-30,6.0,$-0.55,0.0
2014-06-30,6.77,$-0.25,0.0
2014-03-31,7.06,$-0.17,0.0
2013-12-31,10.24,$-0.07,0.0
2013-09-30,15.09,$0.33,45.78
2013-06-30,9.62,$0.29,33.2
2013-03-31,8.66,$0.25,34.86
2012-12-31,4.5,$0.31,14.61
2012-09-30,4.52,$-0.15,0.0
2012-06-30,5.45,$-0.03,0.0
2012-03-31,6.0,$-0.01,0.0
2011-12-31,6.91,$-0.04,0.0
2011-09-30,4.73,$0.43,10.9
2011-06-30,2.95,$0.25,11.83
2011-03-31,2.8,$0.20,13.77
2010-12-31,1.35,$0.32,4.28
2010-09-30,0.82,$0.04,21.58
2010-06-30,0.78,$0.09,8.76
2010-03-31,0.92,$0.25,3.62
2009-12-31,1.04,$0.24,4.29
