Covenant Logistics Price to Free Cash Flow Ratio Historical Data,Covenant Logistics Price to Free Cash Flow Ratio Historical Data,Covenant Logistics Price to Free Cash Flow Ratio Historical Data,Covenant Logistics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.69,,30.87
2024-12-31,54.51,$0.74,74.16
2024-09-30,52.84,$-2.07,0.0
2024-06-30,49.29,$-2.85,0.0
2024-03-31,46.36,$-2.65,0.0
2023-12-31,46.04,$-1.48,0.0
2023-09-30,43.85,$0.57,77.24
2023-06-30,43.83,$1.99,22.06
2023-03-31,35.42,$3.22,11.0
2022-12-31,34.57,$3.60,9.6
2022-09-30,28.64,$3.44,8.33
2022-06-30,24.97,$2.45,10.18
2022-03-31,21.37,$2.78,7.7
2021-12-31,26.16,$2.41,10.85
2021-09-30,27.37,$3.90,7.02
2021-06-30,20.47,$3.38,6.06
2021-03-31,20.38,$3.76,5.42
2020-12-31,14.66,$2.63,5.58
