FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data,FAT Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.02,,0.0
2024-12-31,4.4,$-4.64,0.0
2024-09-30,4.85,$-5.08,0.0
2024-06-30,4.7,$-4.92,0.0
2024-03-31,6.3,$-4.37,0.0
2023-12-31,5.5,$-3.28,0.0
2023-09-30,6.5,$-2.75,0.0
2023-06-30,6.48,$-2.92,0.0
2023-03-31,5.82,$-3.50,0.0
2022-12-31,5.19,$-3.57,0.0
2022-09-30,7.7,$-2.95,0.0
2022-06-30,7.52,$-2.56,0.0
