Cardiff Oncology Price to Free Cash Flow Ratio Historical Data,Cardiff Oncology Price to Free Cash Flow Ratio Historical Data,Cardiff Oncology Price to Free Cash Flow Ratio Historical Data,Cardiff Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.76,,0.0
2024-12-31,4.34,$-0.79,0.0
2024-09-30,2.67,$-0.75,0.0
2024-06-30,2.22,$-0.73,0.0
2024-03-31,5.34,$-0.69,0.0
2023-12-31,1.48,$-0.70,0.0
2023-09-30,1.39,$-0.76,0.0
2023-06-30,1.47,$-0.76,0.0
2023-03-31,1.65,$-0.75,0.0
2022-12-31,1.4,$-0.80,0.0
2022-09-30,1.54,$-0.78,0.0
2022-06-30,2.2,$-0.74,0.0
2022-03-31,2.48,$-0.68,0.0
2021-12-31,6.01,$-0.60,0.0
2021-09-30,6.66,$-0.70,0.0
2021-06-30,6.65,$-0.53,0.0
2021-03-31,9.26,$-0.61,0.0
2020-12-31,17.99,$-0.79,0.0
2020-09-30,14.19,$-0.42,0.0
2020-06-30,5.01,$-0.87,0.0
2020-03-31,1.01,$-1.12,0.0
2019-12-31,1.24,$-1.60,0.0
2019-09-30,1.51,$-2.33,0.0
2019-06-30,2.5,$0.24,10.27
2019-03-31,3.75,$-0.54,0.0
2018-12-31,3.15,$-3.44,0.0
2018-09-30,4.89,$-11.64,0.0
2018-06-30,4.62,$-22.38,0.0
2018-03-31,25.14,$-31.83,0.0
2017-12-31,22.14,$-48.51,0.0
2017-09-30,52.56,$-61.23,0.0
2017-06-30,90.72,$-69.19,0.0
2017-03-31,82.8,$-78.79,0.0
2016-12-31,151.2,$-75.78,0.0
2016-09-30,323.28,$-79.53,0.0
2016-06-30,326.16,$-72.14,0.0
2016-03-31,334.8,$-67.24,0.0
2015-12-31,388.8,$-66.30,0.0
2015-09-30,409.68,$-55.50,0.0
2015-06-30,730.8,$-60.09,0.0
2015-03-31,490.32,$-54.52,0.0
2014-12-31,309.6,$-49.19,0.0
2014-09-30,329.76,$-44.13,0.0
2014-06-30,252.0,$-37.49,0.0
2014-03-31,412.56,$-36.91,0.0
2013-12-31,413.28,$-33.79,0.0
2013-09-30,516.96,$-33.54,0.0
2013-06-30,503.28,$-31.94,0.0
2013-03-31,450.72,$-30.11,0.0
2012-12-31,498.96,$-28.69,0.0
2012-09-30,255.6,$-22.40,0.0
2012-06-30,280.8,$-19.03,0.0
2012-03-31,315.36,$-15.10,0.0
2011-12-31,237.6,$-13.09,0.0
