Predictive Oncology Price to Free Cash Flow Ratio Historical Data,Predictive Oncology Price to Free Cash Flow Ratio Historical Data,Predictive Oncology Price to Free Cash Flow Ratio Historical Data,Predictive Oncology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.1,,0.0
2024-09-30,0.79,$-2.49,0.0
2024-06-30,1.04,$-2.96,0.0
2024-03-31,2.55,$-3.33,0.0
2023-12-31,3.29,$-3.35,0.0
2023-09-30,3.2,$-3.30,0.0
2023-06-30,4.86,$-3.44,0.0
2023-03-31,6.54,$-3.39,0.0
2022-12-31,6.13,$-3.47,0.0
2022-09-30,7.2,$-4.40,0.0
2022-06-30,8.2,$-4.26,0.0
2022-03-31,19.54,$-3.70,0.0
2021-12-31,19.04,$-4.78,0.0
2021-09-30,26.6,$-10.28,0.0
2021-06-30,26.2,$-9.68,0.0
2021-03-31,24.2,$-10.51,0.0
2020-12-31,14.65,$-20.69,0.0
2020-09-30,16.28,$-36.38,0.0
2020-06-30,32.8,$-60.82,0.0
2020-03-31,31.51,$-47.07,0.0
2019-12-31,52.2,$-60.89,0.0
2019-09-30,101.0,$-59.05,0.0
2019-06-30,149.5,$-44.25,0.0
2019-03-31,150.0,$-81.00,0.0
2018-12-31,123.82,$-85.29,0.0
2018-09-30,212.0,$-103.52,0.0
2018-06-30,226.0,$-127.70,0.0
2018-03-31,220.0,$-135.26,0.0
2017-12-31,202.0,$-141.60,0.0
2017-09-30,290.72,$-190.13,0.0
2017-06-30,294.0,$-173.11,0.0
2017-03-31,420.0,$94.03,4.47
2016-12-31,560.0,$-312.73,0.0
2016-09-30,825.0,$-243.74,0.0
2016-06-30,762.5,$-256.59,0.0
