Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data,Upstart Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,49.7,,25.21
2024-12-31,61.57,$1.97,31.23
2024-09-30,40.01,$1.47,27.22
2024-06-30,23.59,$-1.80,0.0
2024-03-31,26.89,$0.10,275.23
2023-12-31,40.86,$-1.48,0.0
2023-09-30,28.54,$-2.56,0.0
2023-06-30,35.81,$-2.64,0.0
2023-03-31,15.89,$-6.37,0.0
2022-12-31,13.22,$-8.22,0.0
2022-09-30,20.79,$-5.54,0.0
2022-06-30,31.62,$-3.74,0.0
2022-03-31,109.09,$-1.70,0.0
2021-12-31,151.3,$1.62,93.57
2021-09-30,316.44,$2.16,146.6
