VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data,VALE S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.14,,8.86
2024-09-30,11.57,$1.14,10.11
2024-06-30,10.67,$1.42,7.52
2024-03-31,11.64,$1.61,7.23
2023-12-31,14.5,$1.66,8.75
2023-09-30,11.88,$1.06,11.18
2023-06-30,11.54,$1.22,9.45
2023-03-31,13.57,$1.55,8.74
2022-12-31,14.28,$1.30,10.97
2022-09-30,11.17,$1.38,8.12
2022-06-30,11.68,$2.43,4.8
2022-03-31,15.96,$3.24,4.92
2021-12-31,10.78,$4.12,2.62
2021-09-30,10.72,$5.06,2.12
2021-06-30,15.92,$4.34,3.67
2021-03-31,11.9,$3.14,3.78
2020-12-31,11.0,$2.26,4.88
2020-09-30,6.95,$1.86,3.73
2020-03-31,5.23,$1.44,3.63
2019-12-31,8.33,$1.64,5.08
2019-09-30,7.12,$1.70,4.19
2019-06-30,8.32,$1.69,4.91
2019-03-31,8.08,$1.82,4.44
2018-12-31,8.16,$1.76,4.64
2018-09-30,9.19,$1.95,4.72
2018-06-30,7.74,$1.67,4.63
2018-03-31,7.68,$1.55,4.95
2017-12-31,7.3,$1.66,4.4
2017-09-30,5.95,$1.33,4.48
2017-06-30,5.17,$1.24,4.17
2017-03-31,5.43,$0.99,5.46
2016-12-31,4.36,$0.28,15.62
2016-09-30,3.13,$-0.04,0.0
2016-06-30,2.88,$-0.35,0.0
2016-03-31,2.39,$-0.74,0.0
2015-12-31,1.87,$-0.70,0.0
2015-09-30,2.34,$-0.96,0.0
2015-06-30,3.28,$-0.98,0.0
2015-03-31,3.11,$-0.40,0.0
2014-12-31,4.51,$0.26,17.5
2014-09-30,5.85,$0.25,23.24
2014-06-30,7.03,$0.57,12.37
2014-03-31,7.14,$0.56,12.83
2013-12-31,7.87,$0.33,24.05
2013-09-30,7.88,$0.49,16.01
2013-06-30,6.64,$0.36,18.31
2013-03-31,8.57,$0.21,40.29
2012-12-31,10.39,$0.16,65.91
2012-09-30,8.77,$0.64,13.63
2012-06-30,9.72,$0.59,16.57
2012-03-31,11.2,$1.01,11.11
2011-12-31,10.3,$1.64,6.28
2011-09-30,10.72,$1.95,5.51
2011-06-30,14.7,$2.44,6.02
2011-03-31,15.2,$2.09,7.28
2010-12-31,15.62,$1.33,11.71
2010-09-30,14.09,$0.42,33.78
2010-06-30,10.97,$0.10,110.36
2010-03-31,14.42,$-0.35,0.0
2009-12-31,13.01,$-0.18,0.0
