Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data,Associated Banc-Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.77,,6.52
2024-12-31,23.9,$3.49,6.85
2024-09-30,21.35,$2.56,8.33
2024-06-30,20.76,$3.18,6.54
2024-03-31,21.12,$3.27,6.46
2023-12-31,20.78,$2.53,8.23
2023-09-30,16.42,$2.92,5.62
2023-06-30,15.39,$3.16,4.86
2023-03-31,16.81,$3.91,4.3
2022-12-31,21.39,$5.21,4.11
2022-09-30,18.44,$5.46,3.38
2022-06-30,16.61,$4.80,3.46
2022-03-31,20.5,$3.68,5.58
2021-12-31,20.18,$3.14,6.43
2021-09-30,18.96,$2.87,6.61
2021-06-30,17.96,$2.88,6.25
2021-03-31,18.57,$4.41,4.21
2020-12-31,14.7,$3.22,4.56
2020-09-30,10.76,$3.05,3.53
2020-06-30,11.51,$4.61,2.5
2020-03-31,10.62,$3.09,3.43
2019-12-31,18.11,$3.13,5.79
2019-09-30,16.5,$3.65,4.52
2019-06-30,17.07,$2.25,7.6
2019-03-31,17.1,$2.18,7.86
2018-12-31,15.73,$2.54,6.2
2018-09-30,20.52,$2.33,8.82
2018-06-30,21.43,$1.26,16.96
2018-03-31,19.4,$1.91,10.15
2017-12-31,19.71,$2.68,7.37
2017-09-30,18.71,$3.27,5.73
2017-06-30,19.34,$5.37,3.6
2017-03-31,18.63,$4.87,3.83
2016-12-31,18.78,$3.58,5.24
2016-09-30,14.81,$2.56,5.79
2016-06-30,12.9,$1.31,9.81
2016-03-31,13.41,$1.33,10.07
2015-12-31,13.93,$1.64,8.51
2015-09-30,13.28,$1.59,8.37
2015-06-30,14.9,$0.82,18.15
2015-03-31,13.6,$0.54,25.3
2014-12-31,13.55,$0.94,14.38
2014-09-30,12.6,$1.13,11.13
2014-06-30,13.01,$2.11,6.17
2014-03-31,12.93,$2.17,5.97
2013-12-31,12.39,$2.47,5.01
2013-09-30,10.97,$1.99,5.52
2013-06-30,10.96,$1.34,8.16
2013-03-31,10.65,$1.67,6.38
2012-12-31,9.15,$1.55,5.92
2012-09-30,9.12,$1.74,5.25
2012-06-30,9.11,$1.08,8.47
2012-03-31,9.6,$0.81,11.79
2011-12-31,7.65,$1.34,5.69
2011-09-30,6.37,$1.94,3.29
2011-06-30,9.51,$2.82,3.37
2011-03-31,10.15,$3.17,3.2
2010-12-31,10.35,$2.77,3.73
2010-09-30,9.0,$1.99,4.51
2010-06-30,8.36,$5.14,1.63
2010-03-31,9.38,$0.17,56.74
2009-12-31,7.5,$0.77,9.68
