"FLUENT, INC Price to Free Cash Flow Ratio Historical Data","FLUENT, INC Price to Free Cash Flow Ratio Historical Data","FLUENT, INC Price to Free Cash Flow Ratio Historical Data","FLUENT, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.04,,0.0
2024-09-30,3.66,$-1.25,0.0
2024-06-30,3.61,$-0.89,0.0
2024-03-31,0.49,$-0.25,0.0
2023-12-31,0.67,$0.17,4.06
2023-09-30,0.44,$-0.06,0.0
2023-06-30,0.63,$0.10,6.2
2023-03-31,0.82,$0.31,2.67
2022-12-31,1.09,$-0.18,0.0
2022-09-30,1.35,$1.68,0.81
2022-06-30,1.19,$0.57,2.09
2022-03-31,2.08,$0.19,10.78
2021-12-31,1.99,$0.71,2.81
2021-09-30,2.27,$-0.19,0.0
2021-06-30,2.93,$0.50,5.86
2021-03-31,4.1,$1.69,2.42
2020-12-31,5.31,$1.32,4.02
2020-09-30,2.48,$0.88,2.81
2020-06-30,1.78,$1.67,1.07
2020-03-31,1.17,$1.45,0.81
2019-12-31,2.5,$1.77,1.41
2019-09-30,2.74,$2.26,1.21
2019-06-30,5.38,$2.19,2.46
2019-03-31,5.62,$2.26,2.49
2018-12-31,3.6,$1.74,2.07
2018-09-30,2.15,$1.81,1.19
2018-06-30,2.45,$0.24,10.28
2018-03-31,2.5,$-0.31,0.0
2017-12-31,4.4,$0.16,28.28
2017-09-30,4.9,$-1.14,0.0
2017-06-30,5.05,$-0.30,0.0
2017-03-31,4.65,$-0.39,0.0
2016-12-31,3.45,$-1.19,0.0
2016-09-30,5.09,$-3.34,0.0
2016-06-30,4.73,$-4.55,0.0
2016-03-31,5.8,$-5.41,0.0
2015-12-31,7.34,$-6.63,0.0
2015-09-30,7.4,$-5.72,0.0
2015-06-30,10.9,$-4.46,0.0
2015-03-31,7.26,$-3.33,0.0
2014-12-31,4.1,$-1.92,0.0
2014-09-30,2.7,$0.00,0.0
2014-06-30,4.69,$-0.21,0.0
2014-03-31,6.65,$-0.40,0.0
2013-12-31,7.55,0,0.0
2013-09-30,6.4,0,0.0
2013-06-30,4.65,0,0.0
2012-12-31,5.94,0,0.0
2012-06-30,9.0,$51.05,0.18
2011-12-31,3.25,$0.82,3.96
2011-06-30,9.5,$0.66,14.33
2010-12-31,15.55,$0.35,44.77
2009-12-31,36.55,$-51.05,0.0
