Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data,Johnson Controls Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.15,,40.11
2024-12-31,78.93,$2.07,38.08
2024-09-30,77.61,$1.59,48.81
2024-06-30,66.15,$1.79,37.04
2024-03-31,64.66,$1.45,44.72
2023-12-31,56.72,$2.44,23.3
2023-09-30,52.0,$2.09,24.82
2023-06-30,66.14,$1.33,49.8
2023-03-31,58.13,$0.77,75.58
2022-12-31,61.39,$0.26,237.39
2022-09-30,46.95,$1.25,37.45
2022-06-30,45.36,$1.08,41.92
2022-03-31,61.66,$1.68,36.81
2021-12-31,76.06,$2.69,28.32
2021-09-30,63.41,$2.94,21.54
2021-06-30,63.68,$3.66,17.42
2021-03-31,55.14,$3.70,14.88
2020-12-31,42.86,$3.00,14.28
2020-09-30,37.37,$2.87,13.02
2020-06-30,31.03,$2.66,11.65
2020-03-31,24.32,$2.12,11.48
2019-12-31,36.44,$2.10,17.34
2019-09-30,39.03,$1.35,28.82
2019-06-30,36.52,$1.11,33.04
2019-03-31,32.45,$0.94,34.43
2018-12-31,25.86,$1.00,25.77
2018-09-30,30.28,$0.99,30.56
2018-06-30,28.73,$2.29,12.57
2018-03-31,30.04,$1.75,17.14
2017-12-31,32.26,$1.74,18.57
2017-09-30,33.87,$-0.38,0.0
2017-06-30,36.22,$-1.23,0.0
2017-03-31,34.98,$-1.37,0.0
2016-12-31,34.01,$-0.91,0.0
2016-09-30,34.11,$1.03,33.2
2016-06-30,32.38,$-0.19,0.0
2016-03-31,27.75,$0.53,52.33
2015-12-31,23.94,$0.24,97.8
2015-09-30,24.98,$0.76,32.91
2015-06-30,28.57,$1.75,16.29
2015-03-31,31.82,$1.54,20.71
2014-12-31,32.27,$1.82,17.7
2014-09-30,32.65,$1.89,17.28
2014-06-30,33.27,$1.62,20.49
2014-03-31,30.8,$1.84,16.74
2013-12-31,29.7,$1.71,17.34
2013-09-30,25.06,$1.30,19.27
2013-06-30,23.36,$2.39,9.78
2013-03-31,22.57,$3.42,6.6
2012-12-31,20.53,$4.38,4.69
2012-09-30,19.57,$5.20,3.76
2012-06-30,18.3,$5.65,3.24
2012-03-31,19.36,$5.33,3.63
2011-12-31,16.02,$5.01,3.19
2011-09-30,13.9,$4.59,3.03
2011-06-30,16.76,$4.71,3.56
2011-03-31,15.11,$4.55,3.32
2010-12-31,13.92,$4.49,3.1
2010-09-30,12.27,$4.87,2.52
2010-06-30,11.7,$4.27,2.74
2010-03-31,12.63,$4.38,2.88
2009-12-31,11.72,$4.34,2.7
