Energy Focus Price to Free Cash Flow Ratio Historical Data,Energy Focus Price to Free Cash Flow Ratio Historical Data,Energy Focus Price to Free Cash Flow Ratio Historical Data,Energy Focus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.06,,0.0
2024-09-30,1.19,$-0.29,0.0
2024-06-30,1.39,$-0.45,0.0
2024-03-31,1.59,$-0.27,0.0
2023-12-31,1.51,$-0.77,0.0
2023-09-30,2.0,$-1.71,0.0
2023-06-30,1.81,$-1.04,0.0
2023-03-31,3.92,$-3.35,0.0
2022-12-31,2.21,$-5.81,0.0
2022-09-30,3.64,$-8.43,0.0
2022-06-30,9.1,$-10.42,0.0
2022-03-31,9.52,$-13.04,0.0
2021-12-31,29.89,$-15.66,0.0
2021-09-30,21.7,$-14.03,0.0
2021-06-30,27.86,$-14.42,0.0
2021-03-31,32.2,$-12.36,0.0
2020-12-31,28.21,$-5.72,0.0
2020-09-30,48.09,$-4.84,0.0
2020-06-30,48.44,$-6.39,0.0
2020-03-31,11.55,$-7.89,0.0
2019-12-31,16.56,$-19.19,0.0
2019-09-30,16.47,$-26.70,0.0
2019-06-30,14.34,$-27.67,0.0
2019-03-31,42.7,$-27.90,0.0
2018-12-31,21.65,$-19.27,0.0
2018-09-30,71.75,$-14.24,0.0
2018-06-30,66.5,$-14.33,0.0
2018-03-31,89.25,$-14.24,0.0
2017-12-31,85.75,$-17.60,0.0
2017-09-30,95.55,$-23.13,0.0
2017-06-30,92.05,$-36.09,0.0
2017-03-31,115.15,$-45.86,0.0
2016-12-31,148.75,$-54.40,0.0
2016-09-30,171.15,$-45.41,0.0
2016-06-30,218.4,$-21.79,0.0
2016-03-31,260.05,$2.22,117.2
2015-12-31,481.25,$7.17,67.1
2015-09-30,413.35,$12.89,32.06
2015-06-30,305.9,$0.16,1903.55
