Westport Fuel Systems Price to Free Cash Flow Ratio Historical Data,Westport Fuel Systems Price to Free Cash Flow Ratio Historical Data,Westport Fuel Systems Price to Free Cash Flow Ratio Historical Data,Westport Fuel Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.85,,0.0
2024-09-30,4.59,$-1.60,0.0
2024-06-30,5.57,$-1.12,0.0
2024-03-31,6.74,$-1.22,0.0
2023-12-31,6.62,$-1.67,0.0
2023-09-30,6.06,$-1.10,0.0
2023-06-30,7.67,$-3.42,0.0
2023-03-31,9.53,$-2.40,0.0
2022-12-31,7.75,$-2.81,0.0
2022-09-30,8.72,$-4.50,0.0
2022-06-30,10.1,$-3.07,0.0
2022-03-31,15.8,$-4.38,0.0
2021-12-31,23.7,$-3.54,0.0
2021-09-30,32.9,$-3.15,0.0
2021-06-30,53.1,$-2.47,0.0
2021-03-31,71.9,$-2.52,0.0
2020-12-31,53.3,$-3.07,0.0
2020-09-30,16.3,$-2.13,0.0
2020-06-30,12.4,$-1.98,0.0
2020-03-31,9.41,$-1.26,0.0
2019-12-31,23.7,$-1.71,0.0
2019-09-30,27.2,$-1.82,0.0
2019-06-30,27.1,$-2.45,0.0
2019-03-31,15.5,$-2.95,0.0
2018-12-31,13.3,$-2.96,0.0
2018-09-30,30.0,$-2.33,0.0
2018-06-30,25.3,$-3.18,0.0
2018-03-31,21.9,$-5.53,0.0
2017-12-31,37.6,$-5.59,0.0
2017-09-30,32.7,$-8.27,0.0
2017-06-30,23.5,$-8.68,0.0
2017-03-31,9.6,$-7.22,0.0
2016-12-31,11.3,$-9.66,0.0
2016-09-30,16.1,$-9.20,0.0
2016-06-30,16.7,$-9.86,0.0
2016-03-31,26.1,$-11.23,0.0
2015-12-31,20.1,$-11.10,0.0
2015-09-30,24.9,$-13.70,0.0
2015-06-30,47.4,$-15.98,0.0
2015-03-31,39.4,$-18.08,0.0
2014-12-31,37.4,$-18.60,0.0
2014-09-30,105.1,$-15.52,0.0
2014-06-30,180.2,$-17.29,0.0
2014-03-31,144.8,$-19.39,0.0
2013-12-31,196.1,$-22.72,0.0
2013-09-30,241.9,$-33.91,0.0
2013-06-30,335.3,$-29.00,0.0
2013-03-31,295.2,$-25.33,0.0
2012-12-31,267.1,$-21.00,0.0
2012-09-30,278.4,$0.51,546.63
2012-06-30,367.5,$-2.67,0.0
2012-03-31,409.2,$2.74,149.25
2011-12-31,332.4,$-0.00,0.0
2011-09-30,289.3,$-10.62,0.0
2011-06-30,240.2,$-6.31,0.0
2011-03-31,219.8,$-5.18,0.0
2010-12-31,185.2,$-4.62,0.0
2010-09-30,176.0,$-3.85,0.0
2010-06-30,156.9,$-3.92,0.0
2010-03-31,164.9,$-6.46,0.0
2009-12-31,115.8,$-5.69,0.0
