Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data,Mid-America Apartment Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,162.57,,33.96
2024-12-31,154.57,$4.79,32.29
2024-09-30,157.38,$3.50,45.03
2024-06-30,139.78,$4.47,31.29
2024-03-31,127.51,$5.06,25.21
2023-12-31,128.88,$4.93,26.12
2023-09-30,122.02,$7.84,15.57
2023-06-30,142.75,$6.05,23.61
2023-03-31,140.64,$6.99,20.13
2022-12-31,144.92,$7.02,20.64
2022-09-30,141.94,$6.78,20.94
2022-06-30,158.67,$8.32,19.07
2022-03-31,189.27,$7.80,24.26
2021-12-31,206.31,$7.50,27.52
2021-09-30,167.06,$6.71,24.88
2021-06-30,149.82,$6.38,23.47
2021-03-31,127.53,$5.00,25.52
2020-12-31,111.04,$4.75,23.37
2020-09-30,100.81,$5.42,18.59
2020-06-30,98.82,$5.46,18.08
2020-03-31,88.02,$5.52,15.94
2019-12-31,111.8,$5.79,19.3
2019-09-30,109.43,$3.95,27.72
2019-06-30,98.34,$4.01,24.53
2019-03-31,90.51,$3.20,28.25
2018-12-31,78.45,$3.25,24.13
2018-09-30,81.32,$3.23,25.19
2018-06-30,80.97,$3.85,21.03
2018-03-31,72.65,$3.59,20.26
2017-12-31,79.27,$3.24,24.48
2017-09-30,83.59,$3.21,26.05
2017-06-30,81.7,$2.86,28.57
2017-03-31,78.22,$3.21,24.36
2016-12-31,74.6,$3.28,22.76
2016-09-30,70.93,$4.48,15.82
2016-06-30,79.7,$4.45,17.89
2016-03-31,75.93,$6.13,12.38
2015-12-31,66.85,$6.57,10.18
2015-09-30,59.71,$3.89,15.36
2015-06-30,52.57,$4.48,11.72
2015-03-31,55.22,$1.98,27.82
2014-12-31,52.86,$2.82,18.74
2014-09-30,45.96,$3.73,12.32
2014-06-30,50.64,$3.42,14.8
2014-03-31,46.82,$5.35,8.75
2013-12-31,41.16,$3.38,12.18
2013-09-30,41.89,$4.75,8.81
2013-06-30,44.96,$-0.31,0.0
2013-03-31,45.37,$-2.60,0.0
2012-12-31,42.08,$-1.31,0.0
2012-09-30,42.01,$-4.16,0.0
2012-06-30,43.47,$-2.01,0.0
2012-03-31,42.28,$-4.38,0.0
2011-12-31,39.03,$-5.93,0.0
2011-09-30,37.17,$-5.05,0.0
2011-06-30,41.28,$-7.01,0.0
2011-03-31,38.89,$-5.37,0.0
2010-12-31,38.07,$-2.93,0.0
2010-09-30,34.6,$-4.71,0.0
2010-06-30,30.21,$-1.10,0.0
2010-03-31,30.04,$0.84,35.95
2009-12-31,27.65,$-0.15,0.0
