Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data,Spectrum Brands Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,70.07,,47.52
2024-12-31,84.49,$1.47,57.3
2024-09-30,94.65,$3.89,24.34
2024-06-30,85.11,$-11.46,0.0
2024-03-31,87.76,$-16.07,0.0
2023-12-31,78.25,$-10.21,0.0
2023-09-30,76.39,$-11.65,0.0
2023-06-30,75.71,$3.16,23.94
2023-03-31,63.87,$6.49,9.84
2022-12-31,58.37,$2.21,26.37
2022-09-30,37.08,$-2.88,0.0
2022-06-30,77.43,$1.60,48.48
2022-03-31,83.35,$2.42,34.47
2021-12-31,95.13,$1.50,63.38
2021-09-30,89.11,$5.67,15.72
2021-06-30,78.79,$4.69,16.79
2021-03-31,78.39,$7.97,9.83
2020-12-31,72.47,$7.38,9.82
2020-09-30,52.11,$5.60,9.3
2020-06-30,41.56,$9.54,4.36
2020-03-31,32.56,$5.31,6.13
2019-12-31,57.16,$0.84,67.85
2019-09-30,46.55,$-0.73,0.0
2019-06-30,47.1,$-46.23,0.0
2019-03-31,47.66,$-43.40,0.0
2018-12-31,36.48,$-42.00,0.0
2018-09-30,63.98,$7.34,8.72
2018-06-30,69.18,$61.84,1.12
2018-03-31,87.14,$61.37,1.42
2017-12-31,89.57,$65.09,1.38
2017-09-30,82.49,$23.70,3.48
2017-06-30,93.59,$22.81,4.1
2017-03-31,102.1,$31.17,3.28
2016-12-31,82.23,$32.44,2.53
2016-09-30,82.97,$27.25,3.05
2016-06-30,72.56,$23.77,3.05
2016-03-31,73.61,$15.24,4.83
2015-12-31,71.66,$9.90,7.24
2015-09-30,61.99,$7.12,8.7
2015-06-30,68.7,$14.08,4.88
2015-03-31,65.95,$20.26,3.26
2014-12-31,74.83,$23.07,3.24
2014-09-30,69.33,$24.27,2.86
2014-06-30,67.11,$21.29,3.15
2014-03-31,64.63,$17.03,3.8
2013-12-31,62.62,$18.84,3.32
2013-09-30,54.8,$18.72,2.93
2013-06-30,39.85,$18.68,2.13
2013-03-31,43.65,$17.23,2.53
2012-12-31,40.64,$20.67,1.97
2012-09-30,44.55,$25.23,1.77
2012-06-30,41.17,$15.38,2.68
2012-03-31,27.37,$14.95,1.83
2011-12-31,21.19,$4.12,5.15
2011-09-30,26.79,$4.59,5.84
2011-06-30,32.29,$-3.61,0.0
2011-03-31,27.53,$-5.89,0.0
2010-12-31,32.71,$-3.81,0.0
2010-09-30,29.33,$-3.81,0.0
2010-06-30,33.19,$-3.38,0.0
2010-03-31,35.78,$-4.62,0.0
2009-12-31,37.1,$-0.47,0.0
