ElectroCore Price to Free Cash Flow Ratio Historical Data,ElectroCore Price to Free Cash Flow Ratio Historical Data,ElectroCore Price to Free Cash Flow Ratio Historical Data,ElectroCore Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.03,,0.0
2024-12-31,16.21,$-0.93,0.0
2024-09-30,7.22,$-1.43,0.0
2024-06-30,6.43,$-1.36,0.0
2024-03-31,6.17,$-1.85,0.0
2023-12-31,5.95,$-2.70,0.0
2023-09-30,6.07,$-2.71,0.0
2023-06-30,4.9,$-3.67,0.0
2023-03-31,5.5,$-3.73,0.0
2022-12-31,3.85,$-3.52,0.0
2022-09-30,6.09,$-4.23,0.0
2022-06-30,7.65,$-3.46,0.0
2022-03-31,8.78,$-3.17,0.0
2021-12-31,8.74,$-3.45,0.0
2021-09-30,16.95,$-4.10,0.0
2021-06-30,17.85,$-4.39,0.0
2021-03-31,30.9,$-4.74,0.0
2020-12-31,23.4,$-7.71,0.0
2020-09-30,25.95,$-10.24,0.0
2020-06-30,12.33,$-13.95,0.0
2020-03-31,14.25,$-18.90,0.0
2019-12-31,23.85,$-23.03,0.0
2019-09-30,32.85,$-24.64,0.0
2019-06-30,30.0,$-27.62,0.0
2019-03-31,105.0,$-32.69,0.0
