QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data,QCR Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,72.68,,3.08
2024-12-31,80.64,$23.59,3.42
2024-09-30,73.98,$30.77,2.4
2024-06-30,59.91,$18.51,3.24
2024-03-31,60.58,$19.72,3.07
2023-12-31,58.18,$21.46,2.71
2023-09-30,48.29,$6.88,7.02
2023-06-30,40.79,$6.83,5.97
2023-03-31,43.59,$6.14,7.1
2022-12-31,49.22,$5.18,9.5
2022-09-30,50.45,$4.12,12.23
2022-06-30,53.41,$4.71,11.33
2022-03-31,55.91,$4.40,12.7
2021-12-31,55.27,$4.76,11.6
2021-09-30,50.72,$2.34,21.65
2021-06-30,47.36,$6.15,7.7
2021-03-31,46.44,$6.99,6.64
2020-12-31,38.89,$6.77,5.74
2020-09-30,26.89,$9.81,2.74
2020-06-30,30.52,$5.06,6.03
2020-03-31,26.45,$4.24,6.24
2019-12-31,42.76,$4.17,10.25
2019-09-30,36.97,$3.98,9.28
2019-06-30,33.89,$3.10,10.93
2019-03-31,32.91,$3.30,9.98
2018-12-31,31.08,$3.51,8.87
2018-09-30,39.49,$2.20,17.94
2018-06-30,45.81,$2.70,16.97
2018-03-31,43.24,$1.85,23.37
2017-12-31,41.26,$2.04,20.19
2017-09-30,43.76,$1.93,22.71
2017-06-30,45.54,$2.15,21.21
2017-03-31,40.64,$2.40,16.92
2016-12-31,41.51,$1.87,22.19
2016-09-30,30.4,$2.51,12.09
2016-06-30,26.01,$2.89,8.99
2016-03-31,22.78,$2.39,9.55
2015-12-31,23.16,$2.45,9.46
2015-09-30,20.82,$2.37,8.78
2015-06-30,20.71,$2.67,7.77
2015-03-31,16.96,$2.83,5.98
2014-12-31,16.97,$2.93,5.8
2014-09-30,16.74,$2.47,6.77
2014-06-30,16.35,$2.60,6.29
2014-03-31,16.23,$4.28,3.79
2013-12-31,16.11,$5.24,3.07
2013-09-30,14.99,$6.99,2.14
2013-06-30,14.58,$8.50,1.72
2013-03-31,15.53,$6.09,2.55
2012-12-31,12.45,$5.85,2.13
2012-09-30,14.06,$5.70,2.47
2012-06-30,12.29,$2.84,4.32
2012-03-31,11.41,$4.47,2.55
2011-12-31,8.51,$7.01,1.21
2011-09-30,8.17,$7.16,1.14
2011-06-30,8.31,$6.69,1.24
2011-03-31,7.79,$5.91,1.32
2010-12-31,6.62,$3.40,1.94
2010-09-30,8.33,$0.06,144.88
2010-06-30,9.11,$2.22,4.1
2010-03-31,8.18,$2.37,3.45
2009-12-31,7.67,$2.49,3.08
