Harvard Bioscience Price to Free Cash Flow Ratio Historical Data,Harvard Bioscience Price to Free Cash Flow Ratio Historical Data,Harvard Bioscience Price to Free Cash Flow Ratio Historical Data,Harvard Bioscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.66,,0.0
2024-12-31,2.11,$-0.03,0.0
2024-09-30,2.69,$0.02,117.47
2024-06-30,2.85,$0.16,17.97
2024-03-31,4.24,$0.27,15.76
2023-12-31,5.35,$0.30,17.8
2023-09-30,4.3,$0.28,15.58
2023-06-30,5.49,$0.18,29.97
2023-03-31,4.2,$0.10,42.81
2022-12-31,2.77,$-0.01,0.0
2022-09-30,2.56,$-0.08,0.0
2022-06-30,3.6,$-0.11,0.0
2022-03-31,6.21,$-0.08,0.0
2021-12-31,7.05,$0.00,0.0
2021-09-30,6.98,$0.07,97.62
2021-06-30,8.33,$0.13,66.59
2021-03-31,5.46,$0.17,33.01
2020-12-31,4.29,$0.21,20.26
2020-09-30,3.01,$0.20,15.38
2020-06-30,3.1,$0.22,14.3
2020-03-31,2.21,$0.20,11.07
2019-12-31,3.05,$0.18,16.89
2019-09-30,3.08,$0.20,15.3
2019-06-30,2.0,$0.11,18.45
2019-03-31,4.31,$0.10,41.84
2018-12-31,3.18,$0.05,61.04
2018-09-30,5.25,$-0.05,0.0
2018-06-30,5.35,$0.05,103.08
2018-03-31,5.0,$0.03,183.15
2017-12-31,3.3,$0.01,0.0
2017-09-30,3.75,$0.07,51.16
2017-06-30,2.55,$0.10,24.5
2017-03-31,2.6,$0.12,21.85
2016-12-31,3.05,$0.12,26.5
2016-09-30,2.72,$0.11,24.37
2016-06-30,2.86,$0.00,0.0
2016-03-31,3.02,$-0.05,0.0
2015-12-31,3.47,$-0.07,0.0
2015-09-30,3.78,$-0.05,0.0
2015-06-30,5.7,$-0.02,0.0
2015-03-31,5.82,$0.03,189.58
2014-12-31,5.67,$0.10,54.05
2014-09-30,4.09,$0.08,52.37
2014-06-30,4.55,$0.11,41.94
2014-03-31,4.74,$0.10,47.93
2013-12-31,4.7,$0.08,59.87
2013-09-30,4.08,$0.08,52.0
2013-06-30,3.64,$0.12,30.95
2013-03-31,4.38,$0.18,25.01
2012-12-31,3.39,$0.21,15.99
2012-09-30,3.28,$0.27,12.16
2012-06-30,2.92,$0.23,12.78
2012-03-31,3.04,$0.19,15.73
2011-12-31,3.0,$0.17,17.31
2011-09-30,3.27,$0.23,14.36
2011-06-30,4.13,$0.26,15.74
2011-03-31,4.4,$0.32,13.85
2010-12-31,3.16,$0.39,8.1
2010-09-30,2.95,$0.49,6.05
2010-06-30,2.76,$0.49,5.62
2010-03-31,3.0,$0.47,6.38
2009-12-31,2.77,$0.51,5.47
