GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data,GSK Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,39.41,,12.24
2024-12-31,33.82,$3.22,10.5
2024-09-30,40.41,$3.73,10.82
2024-06-30,37.7,$3.74,10.09
2024-03-31,41.62,$3.86,10.77
2023-12-31,35.64,$3.32,10.74
2023-09-30,34.5,$2.81,12.26
2023-06-30,33.59,$2.05,16.35
2023-03-31,33.19,$2.22,14.93
2022-12-31,32.47,$3.88,8.37
2022-09-30,26.92,$5.08,5.3
2022-06-30,49.23,$6.21,7.93
2022-03-31,48.88,$6.20,7.89
2021-12-31,48.77,$4.76,10.25
2021-09-30,41.74,$4.58,9.11
2021-06-30,42.97,$3.48,12.34
2021-03-31,38.0,$4.26,8.92
2020-12-31,38.47,$4.64,8.29
2020-09-30,38.82,$4.48,8.66
2020-06-30,41.57,$5.36,7.75
2020-03-31,38.17,$4.56,8.37
2019-12-31,46.72,$4.36,10.72
2019-09-30,41.96,$4.91,8.55
2019-06-30,38.9,$4.74,8.21
2019-03-31,40.14,$4.72,8.5
2018-12-31,36.17,$4.86,7.44
2018-09-30,37.58,$3.92,9.59
2018-06-30,37.26,$3.79,9.84
2018-03-31,35.66,$3.55,10.03
2017-12-31,31.81,$3.69,8.63
2017-09-30,35.89,$2.99,11.99
2017-06-30,37.64,$2.64,14.27
2017-03-31,36.38,$2.29,15.9
2016-09-30,36.28,$2.51,14.46
2016-06-30,36.08,$1.78,20.27
2016-03-31,33.36,$-7.04,0.0
2015-12-31,32.19,$1.00,32.31
2015-09-30,30.27,$1.75,17.34
2015-06-30,32.37,$2.39,13.52
2015-03-31,35.4,$10.99,3.22
2014-12-31,32.31,$3.42,9.46
2014-09-30,34.29,$3.52,9.73
2014-06-30,39.35,$4.13,9.52
2014-03-31,38.86,$4.79,8.11
2013-12-31,38.32,$4.98,7.69
2013-09-30,35.59,$4.65,7.66
2013-06-30,35.07,$2.83,12.38
2013-03-31,32.57,$2.91,11.18
2012-12-31,29.73,$2.78,10.71
2012-09-30,31.19,$2.94,10.59
2012-06-30,30.4,$4.64,6.55
2012-03-31,29.6,$4.36,6.79
2011-12-31,29.53,$4.33,6.82
2011-09-30,26.39,$3.85,6.86
2011-06-30,27.1,$2.94,9.21
2011-03-31,23.97,$3.56,6.73
2010-12-31,24.09,$4.38,5.5
2010-09-30,23.96,$4.59,5.22
2010-06-30,20.36,$5.69,3.58
2010-03-31,22.77,$5.29,4.31
2009-12-31,24.6,$4.84,5.09
