Red River Bancshares Price to Free Cash Flow Ratio Historical Data,Red River Bancshares Price to Free Cash Flow Ratio Historical Data,Red River Bancshares Price to Free Cash Flow Ratio Historical Data,Red River Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,52.07,,10.78
2024-12-31,53.98,$4.83,11.18
2024-09-30,51.92,$5.59,9.29
2024-06-30,47.83,$4.87,9.82
2024-03-31,49.52,$5.11,9.69
2023-12-31,55.71,$4.90,11.36
2023-09-30,45.56,$5.11,8.91
2023-06-30,48.63,$5.56,8.74
2023-03-31,47.54,$6.08,7.82
2022-12-31,50.37,$5.20,9.69
2022-09-30,48.7,$5.56,8.76
2022-06-30,53.21,$5.31,10.03
2022-03-31,51.99,$5.71,9.1
2021-12-31,52.49,$8.13,6.46
2021-09-30,48.85,$6.77,7.22
2021-06-30,49.43,$4.08,12.11
2021-03-31,54.74,$2.85,19.22
2020-12-31,48.37,$0.78,61.65
2020-09-30,41.93,$1.13,36.95
2020-06-30,42.74,$3.37,12.68
2020-03-31,36.19,$4.33,8.35
