Gladstone Investment Price to Free Cash Flow Ratio Historical Data,Gladstone Investment Price to Free Cash Flow Ratio Historical Data,Gladstone Investment Price to Free Cash Flow Ratio Historical Data,Gladstone Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.57,,0.0
2024-12-31,13.25,$-2.45,0.0
2024-09-30,13.6,$2.88,4.71
2024-06-30,12.93,$-0.61,0.0
2024-03-31,12.93,$-2.03,0.0
2023-12-31,12.65,$-1.94,0.0
2023-09-30,10.44,$-2.71,0.0
2023-06-30,10.39,$-2.46,0.0
2023-03-31,10.27,$-0.14,0.0
2022-12-31,9.66,$-0.48,0.0
2022-09-30,8.81,$1.01,8.75
2022-06-30,10.09,$1.91,5.28
2022-03-31,11.29,$1.10,10.25
2021-12-31,11.7,$1.27,9.23
2021-09-30,9.32,$0.70,13.26
2021-06-30,9.52,$-0.31,0.0
2021-03-31,7.93,$-0.90,0.0
2020-12-31,6.42,$-2.54,0.0
2020-09-30,5.67,$-1.45,0.0
2020-06-30,6.24,$1.23,5.06
2020-03-31,4.65,$1.07,4.33
2019-12-31,7.7,$2.73,2.82
2019-09-30,7.02,$3.12,2.25
2019-06-30,6.26,$2.21,2.83
2019-03-31,6.31,$2.85,2.21
2018-12-31,4.98,$2.61,1.91
2018-09-30,5.95,$-0.65,0.0
2018-06-30,6.02,$-1.43,0.0
2018-03-31,5.05,$-0.92,0.0
2017-12-31,5.48,$-1.48,0.0
2017-09-30,4.55,$0.34,13.27
2017-06-30,4.42,$1.19,3.71
2017-03-31,4.15,$1.08,3.85
2016-12-31,3.79,$1.74,2.18
2016-09-30,3.89,$1.54,2.53
2016-06-30,3.07,$1.06,2.89
2016-03-31,2.93,$0.13,21.69
2015-12-31,3.11,$-1.34,0.0
2015-09-30,2.79,$-3.50,0.0
2015-06-30,3.07,$-3.96,0.0
2015-03-31,2.79,$-3.66,0.0
2014-12-31,2.58,$-2.98,0.0
2014-09-30,2.53,$-2.04,0.0
2014-06-30,2.57,$-0.02,0.0
2014-03-31,2.81,$-1.27,0.0
2013-12-31,2.68,$-0.03,0.0
2013-09-30,2.27,$0.68,3.35
2013-06-30,2.32,$-2.53,0.0
2013-03-31,2.26,$-1.64,0.0
2012-12-31,2.11,$-2.03,0.0
2012-09-30,2.32,$-2.36,0.0
2012-06-30,2.15,$-2.07,0.0
2012-03-31,2.16,$-2.20,0.0
2011-12-31,2.03,$-0.46,0.0
2011-09-30,1.86,$-1.74,0.0
2011-06-30,1.91,$0.55,3.49
2011-03-31,2.04,$3.04,0.67
2010-12-31,1.98,$1.35,1.46
2010-09-30,1.7,$3.42,0.5
2010-06-30,1.45,$3.02,0.48
2010-03-31,1.46,$4.50,0.33
2009-12-31,1.09,$5.06,0.22
