"Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data","Banco Santander, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.89,,0.0
2024-06-30,4.53,$-3.21,0.0
2024-03-31,4.64,$-2.07,0.0
2023-12-31,3.97,$0.04,92.26
2023-09-30,3.52,$-1.23,0.0
2023-06-30,3.47,$0.25,13.8
2023-03-31,3.39,$0.97,3.5
2022-12-31,2.71,$1.51,1.8
2022-09-30,2.09,$3.49,0.6
2022-06-30,2.52,$2.01,1.25
2022-03-31,2.99,$0.59,5.1
2021-12-31,2.91,$3.37,0.86
2021-09-30,3.15,$4.21,0.75
2021-06-30,3.4,$5.31,0.64
2021-03-31,2.99,$6.19,0.48
2020-09-30,1.54,$3.33,0.46
2020-03-31,1.96,$1.34,1.47
2019-06-30,3.72,$-0.45,0.0
2019-03-31,3.71,$0.37,9.99
2018-12-31,3.53,$-0.25,0.0
2018-09-30,3.91,$2.21,1.77
2018-06-30,4.12,$2.42,1.71
2018-03-31,5.0,$1.28,3.89
2017-12-31,4.94,$2.49,1.98
2017-09-30,5.21,$1.29,4.03
2017-06-30,4.97,$1.29,3.85
2017-03-31,4.47,$1.54,2.89
2016-12-31,3.77,$1.29,2.92
2016-09-30,3.17,$0.85,3.76
2016-06-30,2.78,$1.07,2.6
2016-03-31,3.06,$1.05,2.92
2015-12-31,3.37,$0.55,6.12
2015-09-30,3.62,$-0.59,0.0
2015-06-30,4.77,$-1.65,0.0
2015-03-31,4.97,$-1.97,0.0
2014-12-31,5.43,$-0.71,0.0
2014-09-30,6.06,$-3.91,0.0
2014-06-30,6.52,$-3.07,0.0
2014-03-31,5.87,$-3.10,0.0
2013-12-31,5.43,$-3.49,0.0
2013-09-30,4.78,$3.15,1.52
2013-06-30,3.67,$3.15,1.16
2013-03-31,3.76,$3.15,1.19
2012-12-31,4.41,$3.15,1.4
2012-09-30,3.92,$3.61,1.09
2012-06-30,3.34,$3.61,0.93
2012-03-31,3.74,$3.61,1.04
2011-12-31,3.58,$3.61,0.99
2011-09-30,3.75,$7.03,0.53
2011-06-30,5.27,$7.03,0.75
2011-03-31,5.23,$7.03,0.74
2010-12-31,4.69,$7.03,0.67
2010-09-30,5.5,$-2.86,0.0
2010-06-30,4.51,$-2.18,0.0
2010-03-31,5.56,$-2.86,0.0
2009-12-31,6.8,$-2.86,0.0
