Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data,Crawford Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.16,,55.66
2024-12-31,11.56,$0.20,57.66
2024-09-30,10.97,$0.18,62.22
2024-06-30,8.64,$0.63,13.71
2024-03-31,9.43,$0.95,9.91
2023-12-31,13.18,$1.35,9.73
2023-09-30,9.34,$1.58,5.91
2023-06-30,11.09,$0.68,16.19
2023-03-31,8.36,$0.12,71.76
2022-12-31,5.56,$-0.08,0.0
2022-09-30,5.74,$-0.41,0.0
2022-06-30,7.8,$-0.12,0.0
2022-03-31,7.56,$0.11,66.03
2021-12-31,7.49,$0.43,17.3
2021-09-30,8.97,$0.40,22.18
2021-06-30,9.07,$1.06,8.58
2021-03-31,10.58,$1.27,8.31
2020-12-31,7.3,$1.05,6.98
2020-09-30,6.42,$1.09,5.91
2020-06-30,7.7,$0.95,8.14
2020-03-31,6.99,$0.76,9.19
2019-12-31,11.04,$1.00,11.04
2019-09-30,10.41,$1.12,9.33
2019-06-30,10.0,$1.08,9.3
2019-03-31,8.71,$0.78,11.1
2018-12-31,8.33,$0.40,20.78
2018-09-30,8.36,$0.05,173.77
2018-06-30,7.93,$-0.17,0.0
2018-03-31,7.32,$-0.04,0.0
2017-12-31,7.7,$-0.07,0.0
2017-09-30,8.61,$0.40,21.28
2017-06-30,6.92,$0.70,9.83
2017-03-31,7.18,$0.97,7.38
2016-12-31,8.29,$1.24,6.69
2016-09-30,7.79,$1.16,6.71
2016-06-30,6.58,$0.59,11.09
2016-03-31,5.14,$0.74,6.98
2015-12-31,4.26,$0.52,8.2
2015-09-30,4.64,$0.69,6.7
2015-06-30,6.25,$0.82,7.63
2015-03-31,6.14,$0.47,13.07
2014-12-31,6.91,$-0.37,0.0
2014-09-30,6.19,$0.22,28.19
2014-06-30,6.42,$0.05,123.21
2014-03-31,7.36,$0.45,16.45
2013-12-31,6.02,$0.84,7.14
2013-09-30,5.71,$0.78,7.31
2013-06-30,3.91,$1.37,2.87
2013-03-31,4.06,$1.07,3.78
2012-12-31,4.29,$1.09,3.95
2012-09-30,3.24,$0.62,5.27
2012-06-30,2.87,$0.19,15.4
2012-03-31,2.87,$0.34,8.44
2011-12-31,2.98,$0.13,22.44
2011-09-30,2.74,$0.08,34.0
2011-06-30,3.63,$-0.07,0.0
2011-03-31,2.43,$-0.53,0.0
2010-12-31,1.73,$-0.03,0.0
2010-09-30,1.46,$-0.16,0.0
2010-06-30,1.75,$-0.12,0.0
2010-03-31,2.15,$0.30,7.19
2009-12-31,2.38,$0.52,4.56
