AGMs Price to Free Cash Flow Ratio Historical Data,AGMs Price to Free Cash Flow Ratio Historical Data,AGMs Price to Free Cash Flow Ratio Historical Data,AGMs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.08,,0.0
2021-09-30,8.88,$-0.12,0.0
2021-06-30,10.44,0,0.0
2020-12-31,15.28,0,0.0
2020-09-30,15.64,$-0.04,0.0
2020-06-30,26.03,0,0.0
