Stitch Fix Price to Free Cash Flow Ratio Historical Data,Stitch Fix Price to Free Cash Flow Ratio Historical Data,Stitch Fix Price to Free Cash Flow Ratio Historical Data,Stitch Fix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.52,,28.39
2025-01-31,4.71,$0.12,37.98
2024-10-31,3.16,$0.06,57.16
2024-07-31,4.71,$0.12,38.8
2024-04-30,2.12,$0.25,8.59
2024-01-31,3.2,$0.32,9.93
2023-10-31,3.28,$0.69,4.73
2023-07-31,5.11,$0.48,10.61
2023-04-30,3.41,$0.08,41.13
2023-01-31,5.21,$-0.50,0.0
2022-10-31,4.0,$-0.94,0.0
2022-07-31,5.97,$0.28,21.46
2022-04-30,9.5,$0.58,16.3
2022-01-31,16.43,$0.46,35.82
2021-10-31,34.6,$0.21,168.04
2021-07-31,53.92,$-0.48,0.0
2021-04-30,43.32,$-0.05,0.0
2021-01-31,95.44,$-0.21,0.0
2020-10-31,34.43,$0.40,86.97
2020-07-31,22.15,$0.12,178.92
2020-04-30,16.05,$-0.41,0.0
2020-01-31,22.9,$0.27,84.22
2019-10-31,22.86,$0.24,96.29
2019-07-31,26.08,$0.46,56.58
2019-04-30,26.65,$0.69,38.76
2019-01-31,22.45,$0.84,26.75
2018-10-31,26.36,$1.10,23.86
