Frequency Electronics Price to Free Cash Flow Ratio Historical Data,Frequency Electronics Price to Free Cash Flow Ratio Historical Data,Frequency Electronics Price to Free Cash Flow Ratio Historical Data,Frequency Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.14,,13.42
2024-10-31,12.62,$1.28,9.88
2024-07-31,12.57,$0.89,14.12
2024-04-30,8.87,$0.77,11.6
2024-01-31,9.44,$-0.03,0.0
2023-10-31,6.89,$-0.20,0.0
2023-07-31,6.39,$0.14,44.66
2023-04-30,6.04,$0.03,219.61
2023-01-31,5.54,$0.09,64.55
2022-10-31,4.09,$0.05,86.45
2022-07-31,5.24,$-0.05,0.0
2022-04-30,6.44,$0.23,27.42
2022-01-31,7.22,$0.53,13.55
2021-10-31,7.93,$1.11,7.14
2021-07-31,7.96,$1.05,7.56
2021-04-30,8.53,$1.18,7.22
2021-01-31,8.51,$0.86,9.95
2020-10-31,7.26,$-0.07,0.0
2020-07-31,8.31,$-0.25,0.0
2020-04-30,7.97,$-0.32,0.0
2020-01-31,7.34,$-0.20,0.0
2019-10-31,9.37,$-0.17,0.0
2019-07-31,9.26,$0.04,208.98
2019-04-30,9.57,$-0.32,0.0
2019-01-31,10.51,$-0.37,0.0
2018-10-31,8.81,$-0.14,0.0
2018-07-31,6.59,$-0.40,0.0
2018-04-30,6.99,$0.35,19.85
2018-01-31,7.54,$0.32,23.66
2017-10-31,7.37,$0.62,11.8
2017-07-31,6.86,$0.34,20.35
2017-04-30,8.34,$-0.15,0.0
2017-01-31,8.8,$-0.21,0.0
2016-10-31,7.29,$-0.11,0.0
2016-07-31,8.51,$0.04,191.27
2016-04-30,8.04,$-0.04,0.0
2016-01-31,7.05,$0.28,25.46
2015-10-31,8.67,$-0.11,0.0
2015-07-31,8.87,$0.24,36.74
2015-04-30,10.51,$-0.26,0.0
2015-01-31,9.06,$-0.37,0.0
2014-10-31,9.11,$-0.23,0.0
2014-07-31,9.08,$-0.55,0.0
2014-04-30,8.42,$-0.20,0.0
2014-01-31,9.6,$-0.44,0.0
2013-10-31,8.82,$-0.34,0.0
2013-07-31,8.44,$-0.25,0.0
2013-04-30,7.96,$0.08,105.37
2013-01-31,7.29,$0.26,27.99
2012-10-31,6.77,$-0.04,0.0
2012-07-31,6.92,$-0.25,0.0
2012-04-30,5.89,$0.09,65.15
2012-01-31,6.64,$-0.10,0.0
2011-10-31,6.41,$0.24,26.27
2011-07-31,8.11,$0.21,38.09
2011-04-30,7.97,$-0.01,0.0
2011-01-31,5.47,$0.60,9.08
2010-10-31,4.66,$0.22,21.63
2010-07-31,3.95,$0.72,5.51
2010-04-30,4.29,$0.81,5.29
2010-01-31,3.91,$0.50,7.77
2009-10-31,3.41,$1.08,3.15
