Syros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Syros Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-19,0.12,,0.0
2024-09-30,2.15,$-2.63,0.0
2024-06-30,5.16,$-3.24,0.0
2024-03-31,5.35,$-3.29,0.0
2023-12-31,7.79,$-3.83,0.0
2023-09-30,3.95,$-3.28,0.0
2023-06-30,3.15,$-3.13,0.0
2023-03-31,2.67,$-6.39,0.0
2022-12-31,3.59,$-9.84,0.0
2022-09-30,6.44,$-13.62,0.0
2022-06-30,9.63,$-17.14,0.0
2022-03-31,11.9,$-17.27,0.0
2021-12-31,32.6,$-16.12,0.0
2021-09-30,44.7,$-18.79,0.0
2021-06-30,54.5,$-17.72,0.0
2021-03-31,74.8,$-16.45,0.0
2020-12-31,108.5,$-13.18,0.0
2020-09-30,88.4,$-12.06,0.0
2020-06-30,106.6,$-11.69,0.0
2020-03-31,59.3,$-12.25,0.0
2019-12-31,69.1,$-18.09,0.0
2019-09-30,103.8,$-17.30,0.0
2019-06-30,92.6,$-17.39,0.0
2019-03-31,91.4,$-18.12,0.0
2018-12-31,55.7,$-12.77,0.0
2018-09-30,119.1,$-12.86,0.0
2018-06-30,102.1,$-13.09,0.0
2018-03-31,129.8,$-13.12,0.0
2017-12-31,97.3,$-17.93,0.0
2017-09-30,147.2,$-32.09,0.0
2017-06-30,160.9,$48.76,3.3
2017-03-31,159.3,$-39.41,0.0
