Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data,Delta Air Lines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.95,,10.55
2024-12-31,60.5,$4.45,13.59
2024-09-30,50.64,$1.92,26.4
2024-06-30,47.14,$1.68,27.98
2024-03-31,47.47,$1.73,27.51
2023-12-31,39.8,$1.77,22.43
2023-09-30,36.5,$1.83,19.9
2023-06-30,46.8,$1.25,37.39
2023-03-31,34.38,$1.92,17.9
2022-12-31,32.35,$-0.00,0.0
2022-09-30,27.62,$0.54,51.03
2022-06-30,28.52,$0.38,75.21
2022-03-31,38.96,$-0.36,0.0
2021-12-31,38.47,$0.03,1451.82
2021-09-30,41.95,$-1.81,0.0
2021-06-30,42.59,$-5.02,0.0
2021-03-31,47.53,$-7.64,0.0
2020-12-31,39.59,$-8.95,0.0
2020-09-30,30.11,$-6.27,0.0
2020-06-30,27.61,$0.02,1517.29
2020-03-31,28.09,$3.56,7.89
2019-12-31,57.18,$5.34,10.7
2019-09-30,55.9,$2.84,19.67
2019-06-30,54.73,$1.62,33.77
2019-03-31,49.51,$0.92,54.03
2018-12-31,47.49,$0.15,307.99
2018-09-30,54.7,$3.86,14.16
2018-06-30,46.54,$3.96,11.76
2018-03-31,51.19,$3.91,13.1
2017-12-31,52.0,$1.57,33.21
2017-09-30,44.51,$0.94,47.29
2017-06-30,49.29,$1.70,29.07
2017-03-31,41.97,$2.65,15.82
2016-12-31,44.75,$5.06,8.83
2016-09-30,35.64,$5.37,6.64
2016-06-30,32.81,$5.68,5.78
2016-03-31,43.7,$5.10,8.56
2015-12-31,45.36,$6.20,7.32
2015-09-30,40.05,$5.49,7.3
2015-06-30,36.56,$4.61,7.93
2015-03-31,39.93,$4.15,9.63
2014-12-31,43.6,$3.27,13.33
2014-09-30,31.97,$3.56,8.97
2014-06-30,34.16,$3.09,11.06
2014-03-31,30.52,$2.29,13.33
2013-12-31,24.15,$2.31,10.45
2013-09-30,20.69,$2.05,10.07
2013-06-30,16.37,$1.48,11.04
2013-03-31,14.44,$0.51,28.07
2012-12-31,10.38,$0.60,17.37
2012-09-30,8.01,$1.52,5.27
2012-06-30,9.58,$1.09,8.81
2012-03-31,8.67,$1.84,4.72
2011-12-31,7.08,$1.87,3.78
2011-09-30,6.56,$0.81,8.08
2011-06-30,8.02,$1.34,5.97
2011-03-31,8.57,$1.54,5.58
2010-12-31,11.02,$1.77,6.24
2010-09-30,10.18,$1.13,8.99
2010-06-30,10.28,$0.83,12.41
2010-03-31,12.76,$0.64,19.97
2009-12-31,9.95,$0.21,46.51
