CERo Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,CERo Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,CERo Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data,CERo Therapeutics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.96,,0.0
2024-09-30,0.09,$-35.77,0.0
2024-06-30,0.3,$-80.58,0.0
2024-03-31,3.07,$-86.26,0.0
2023-12-31,11.0,$-66.12,0.0
2023-09-30,10.86,$-61.37,0.0
2023-06-30,10.9,$-50.65,0.0
2023-03-31,10.68,$-32.92,0.0
2022-12-31,10.27,$-23.76,0.0
2022-09-30,10.09,$-15.65,0.0
