Omeros Price to Free Cash Flow Ratio Historical Data,Omeros Price to Free Cash Flow Ratio Historical Data,Omeros Price to Free Cash Flow Ratio Historical Data,Omeros Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.1,,0.0
2024-09-30,3.97,$-2.62,0.0
2024-06-30,4.06,$-2.59,0.0
2024-03-31,3.45,$-2.31,0.0
2023-12-31,3.27,$1.18,2.76
2023-09-30,2.92,$1.33,2.19
2023-06-30,5.44,$1.43,3.8
2023-03-31,4.65,$1.64,2.84
2022-12-31,2.26,$-1.38,0.0
2022-09-30,3.15,$-1.27,0.0
2022-06-30,2.75,$-1.23,0.0
2022-03-31,6.01,$-1.36,0.0
2021-12-31,6.43,$-1.76,0.0
2021-09-30,13.79,$-1.82,0.0
2021-06-30,14.84,$-1.98,0.0
2021-03-31,17.8,$-2.24,0.0
2020-12-31,14.29,$-1.76,0.0
2020-09-30,10.11,$-1.87,0.0
2020-06-30,14.72,$-1.47,0.0
2020-03-31,13.37,$-1.12,0.0
2019-12-31,14.09,$-1.22,0.0
2019-09-30,16.33,$-1.27,0.0
2019-06-30,15.69,$-1.87,0.0
2019-03-31,17.37,$-2.18,0.0
2018-12-31,11.14,$-2.15,0.0
2018-09-30,24.41,$-1.74,0.0
2018-06-30,18.14,$-1.20,0.0
2018-03-31,11.17,$-0.75,0.0
2017-12-31,19.43,$-0.80,0.0
2017-09-30,21.62,$-0.99,0.0
2017-06-30,19.91,$-1.01,0.0
2017-03-31,15.12,$-1.13,0.0
2016-12-31,9.92,$-1.28,0.0
2016-09-30,11.16,$-1.45,0.0
2016-06-30,10.52,$-1.59,0.0
2016-03-31,15.34,$-1.70,0.0
2015-12-31,15.73,$-1.74,0.0
2015-09-30,10.96,$-1.79,0.0
2015-06-30,17.99,$-1.87,0.0
2015-03-31,22.03,$-1.87,0.0
2014-12-31,24.78,$-1.75,0.0
2014-09-30,12.72,$-1.30,0.0
2014-06-30,17.4,$-1.17,0.0
2014-03-31,12.07,$-1.06,0.0
2013-12-31,11.29,$-1.05,0.0
2013-09-30,9.75,$-1.60,0.0
2013-06-30,5.04,$-1.47,0.0
2013-03-31,4.12,$-1.56,0.0
2012-12-31,5.19,$-1.46,0.0
2012-09-30,9.4,$-1.19,0.0
2012-06-30,10.0,$-1.16,0.0
2012-03-31,9.93,$-1.07,0.0
2011-12-31,3.95,$-1.21,0.0
2011-09-30,4.05,$-0.57,0.0
2011-06-30,4.12,$-0.67,0.0
2011-03-31,8.0,$-0.73,0.0
2010-12-31,8.24,$-0.71,0.0
2010-09-30,7.29,$-3.69,0.0
