S&W Seed Price to Free Cash Flow Ratio Historical Data,S&W Seed Price to Free Cash Flow Ratio Historical Data,S&W Seed Price to Free Cash Flow Ratio Historical Data,S&W Seed Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.67,,0.0
2024-12-31,7.99,$-1.90,0.0
2024-09-30,3.52,$-3.62,0.0
2024-06-30,6.84,$-2.96,0.0
2024-03-31,9.19,$-4.31,0.0
2023-12-31,13.3,$-4.40,0.0
2023-09-30,21.28,$-5.11,0.0
2023-06-30,23.18,$-8.78,0.0
2023-03-31,27.46,$-7.81,0.0
2022-12-31,28.31,$-9.05,0.0
2022-09-30,13.87,$-10.11,0.0
2022-06-30,19.0,$-9.85,0.0
2022-03-31,40.47,$-11.96,0.0
2021-12-31,51.87,$-8.25,0.0
2021-09-30,49.21,$-9.01,0.0
2021-06-30,69.16,$-7.98,0.0
2021-03-31,69.16,$-6.14,0.0
2020-12-31,55.67,$-5.89,0.0
2020-09-30,47.12,$-7.20,0.0
2020-06-30,43.32,$-4.39,0.0
2020-03-31,38.95,$20.63,1.89
2019-12-31,39.9,$21.11,1.89
2019-09-30,45.22,$11.02,4.1
2019-06-30,50.16,$13.34,3.76
2019-03-31,50.92,$-17.12,0.0
2018-12-31,34.39,$-14.62,0.0
2018-09-30,46.55,$-22.50,0.0
2018-06-30,61.75,$-19.74,0.0
2018-03-31,68.4,$-7.19,0.0
2017-12-31,74.1,$-21.32,0.0
2017-09-30,59.85,$-15.64,0.0
2017-06-30,78.85,$-13.29,0.0
2017-03-31,94.05,$-7.57,0.0
2016-12-31,87.4,$-8.03,0.0
2016-09-30,96.9,$-1.20,0.0
2016-06-30,82.84,$5.75,14.42
2016-03-31,79.42,$-3.90,0.0
2015-12-31,80.18,$25.44,3.15
2015-09-30,87.4,$41.17,2.12
2015-06-30,92.72,$24.71,3.75
2015-03-31,87.78,$15.04,5.84
2014-12-31,76.0,$-3.91,0.0
2014-09-30,80.56,$-20.85,0.0
2014-06-30,123.31,$-29.61,0.0
2014-03-31,140.79,$-24.93,0.0
2013-12-31,132.05,$-20.14,0.0
2013-09-30,159.03,$-22.33,0.0
2013-06-30,159.22,$-27.57,0.0
2013-03-31,199.69,$-34.72,0.0
2012-12-31,146.68,$-39.44,0.0
2012-09-30,115.52,$-18.43,0.0
2012-06-30,100.51,$-1.11,0.0
2012-03-31,107.35,$7.28,14.74
2011-12-31,83.79,$4.18,20.06
2011-09-30,90.44,$-9.26,0.0
2011-06-30,81.89,$-13.41,0.0
2011-03-31,69.92,$-26.13,0.0
