Ironwood Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ironwood Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ironwood Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Ironwood Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.53,,1.63
2024-09-30,4.12,$0.94,4.39
2024-06-30,6.52,$0.93,7.01
2024-03-31,8.71,$1.03,8.43
2023-12-31,11.44,$1.18,9.71
2023-09-30,9.63,$1.20,8.0
2023-06-30,10.64,$1.53,6.95
2023-03-31,10.52,$1.56,6.74
2022-12-31,12.39,$1.47,8.44
2022-09-30,10.36,$1.45,7.14
2022-06-30,11.53,$1.52,7.58
2022-03-31,12.58,$1.48,8.53
2021-12-31,11.66,$1.59,7.33
2021-09-30,13.06,$1.51,8.64
2021-06-30,12.87,$1.40,9.19
2021-03-31,11.18,$1.23,9.09
2020-12-31,11.39,$1.04,10.96
2020-09-30,9.0,$0.88,10.23
2020-06-30,10.32,$0.75,13.76
2020-03-31,10.09,$0.55,18.23
2019-12-31,13.31,$0.02,545.49
2019-09-30,8.59,$-0.07,0.0
2019-06-30,10.94,$-0.44,0.0
2019-03-31,13.53,$-0.51,0.0
2018-12-31,10.36,$-0.46,0.0
2018-09-30,18.46,$-0.58,0.0
2018-06-30,19.12,$-0.64,0.0
2018-03-31,15.43,$-0.71,0.0
2017-12-31,14.99,$-0.69,0.0
2017-09-30,15.77,$-0.77,0.0
2017-06-30,18.88,$-0.57,0.0
2017-03-31,17.06,$-0.40,0.0
2016-12-31,15.29,$-0.21,0.0
2016-09-30,15.88,$-0.21,0.0
2016-06-30,13.08,$-0.38,0.0
2016-03-31,10.94,$-0.52,0.0
2015-12-31,11.59,$-0.78,0.0
2015-09-30,10.41,$-0.83,0.0
2015-06-30,12.06,$-0.92,0.0
2015-03-31,16.0,$-0.97,0.0
2014-12-31,15.32,$-1.16,0.0
2014-09-30,12.96,$-1.45,0.0
2014-06-30,15.33,$-1.57,0.0
2014-03-31,12.32,$-2.01,0.0
2013-12-31,11.61,$-2.44,0.0
2013-09-30,11.84,$-2.24,0.0
2013-06-30,9.93,$-1.49,0.0
2013-03-31,18.29,$-1.22,0.0
2012-12-31,11.08,$-0.79,0.0
2012-09-30,12.78,$-0.62,0.0
2012-06-30,13.78,$-1.24,0.0
2012-03-31,13.31,$-1.03,0.0
2011-12-31,11.97,$-0.85,0.0
2011-09-30,10.8,$-0.83,0.0
2011-06-30,15.72,$-0.78,0.0
2011-03-31,13.98,$-0.69,0.0
2010-12-31,10.35,$-0.84,0.0
