REGENXBIO Price to Free Cash Flow Ratio Historical Data,REGENXBIO Price to Free Cash Flow Ratio Historical Data,REGENXBIO Price to Free Cash Flow Ratio Historical Data,REGENXBIO Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.36,,0.0
2024-12-31,7.73,$-3.55,0.0
2024-09-30,10.49,$-3.79,0.0
2024-06-30,11.7,$-4.12,0.0
2024-03-31,21.07,$-4.47,0.0
2023-12-31,17.95,$-5.22,0.0
2023-09-30,16.46,$-5.29,0.0
2023-06-30,19.99,$-5.44,0.0
2023-03-31,18.91,$-5.94,0.0
2022-12-31,22.68,$-5.52,0.0
2022-09-30,26.43,$3.10,8.51
2022-06-30,24.7,$2.95,8.37
2022-03-31,33.19,$3.31,10.04
2021-12-31,32.7,$3.07,10.66
2021-09-30,41.92,$-3.91,0.0
2021-06-30,38.85,$-3.51,0.0
2021-03-31,34.11,$-2.88,0.0
2020-12-31,45.36,$-2.17,0.0
2020-09-30,27.52,$-3.50,0.0
2020-06-30,36.83,$-3.33,0.0
2020-03-31,32.38,$-3.47,0.0
2019-12-31,40.97,$-3.26,0.0
2019-09-30,35.6,$-2.98,0.0
2019-06-30,51.37,$-2.67,0.0
2019-03-31,57.31,$-0.01,0.0
2018-12-31,41.95,$2.49,16.83
2018-09-30,75.5,$2.36,31.93
2018-06-30,71.75,$2.35,30.56
2018-03-31,29.85,$0.21,140.6
2017-12-31,33.25,$-2.18,0.0
2017-09-30,32.95,$-2.54,0.0
2017-06-30,19.75,$-2.50,0.0
2017-03-31,19.3,$-2.60,0.0
2016-12-31,18.55,$-2.15,0.0
2016-09-30,14.01,$0.13,111.9
2016-06-30,8.0,$-3.19,0.0
