Eastern Price to Free Cash Flow Ratio Historical Data,Eastern Price to Free Cash Flow Ratio Historical Data,Eastern Price to Free Cash Flow Ratio Historical Data,Eastern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,26.64,,13.85
2024-12-31,26.54,$1.92,13.8
2024-09-30,32.32,$1.06,30.36
2024-06-30,25.27,$2.53,9.99
2024-03-31,33.69,$2.56,13.14
2023-12-31,21.65,$3.19,6.79
2023-09-30,17.75,$3.23,5.5
2023-06-30,17.59,$3.22,5.47
2023-03-31,18.82,$2.36,7.97
2022-12-31,18.53,$1.00,18.46
2022-09-30,16.59,$-0.95,0.0
2022-06-30,19.36,$-2.60,0.0
2022-03-31,22.04,$-2.37,0.0
2021-12-31,23.62,$-1.52,0.0
2021-09-30,23.6,$-1.47,0.0
2021-06-30,28.36,$1.75,16.18
2021-03-31,24.97,$2.25,11.08
2020-12-31,22.36,$2.02,11.05
2020-09-30,18.02,$4.17,4.32
2020-06-30,16.4,$2.73,6.01
2020-03-31,17.78,$3.01,5.91
2019-12-31,27.72,$2.93,9.46
2019-09-30,22.45,$2.42,9.27
2019-06-30,25.22,$1.91,13.19
2019-03-31,24.66,$1.49,16.55
2018-12-31,21.59,$1.19,18.14
2018-09-30,25.25,$0.43,59.26
2018-06-30,24.84,$0.92,27.02
2018-03-31,25.15,$0.84,29.87
2017-12-31,22.98,$1.34,17.09
2017-09-30,25.11,$1.77,14.2
2017-06-30,26.19,$1.62,16.16
2017-03-31,18.62,$1.78,10.45
2016-12-31,18.04,$1.53,11.8
2016-09-30,17.18,$1.95,8.82
2016-06-30,14.15,$1.90,7.45
2016-03-31,13.92,$1.19,11.7
2015-12-31,15.83,$1.06,14.93
2015-09-30,13.39,$0.42,32.12
2015-06-30,15.4,$0.63,24.34
2015-03-31,16.59,$0.89,18.74
2014-12-31,14.03,$0.92,15.26
2014-09-30,13.03,$1.09,11.95
2014-06-30,12.49,$0.88,14.12
2014-03-31,13.03,$0.97,13.39
2013-12-31,12.7,$0.93,13.67
2013-09-30,12.81,$0.96,13.39
2013-06-30,12.6,$1.32,9.53
2013-03-31,13.72,$1.35,10.17
2012-12-31,12.3,$1.52,8.09
2012-09-30,14.37,$1.06,13.62
2012-06-30,12.31,$0.54,22.89
2012-03-31,15.16,$0.14,109.88
2011-12-31,15.08,$-0.31,0.0
2011-09-30,13.8,$0.03,494.55
2011-06-30,12.06,$-0.10,0.0
2011-03-31,14.21,$0.21,69.0
2010-12-31,13.2,$0.77,17.15
2010-09-30,11.95,$0.39,30.83
2010-06-30,10.63,$1.10,9.63
2010-03-31,9.75,$1.65,5.89
2009-12-31,9.6,$1.86,5.17
