Arvinas Price to Free Cash Flow Ratio Historical Data,Arvinas Price to Free Cash Flow Ratio Historical Data,Arvinas Price to Free Cash Flow Ratio Historical Data,Arvinas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.0,,0.0
2024-12-31,19.17,$-3.63,0.0
2024-09-30,24.63,$-3.24,0.0
2024-06-30,26.62,$-3.01,0.0
2024-03-31,41.28,$-5.37,0.0
2023-12-31,41.16,$-5.74,0.0
2023-09-30,19.64,$-6.30,0.0
2023-06-30,24.82,$-6.05,0.0
2023-03-31,27.32,$-5.88,0.0
2022-12-31,34.21,$-5.27,0.0
2022-09-30,44.49,$-4.71,0.0
2022-06-30,42.09,$10.28,4.1
2022-03-31,67.3,$10.80,6.23
2021-12-31,82.14,$11.09,7.4
2021-09-30,82.18,$11.13,7.38
2021-06-30,77.0,$-3.16,0.0
2021-03-31,66.1,$-2.78,0.0
2020-12-31,84.93,$-2.43,0.0
2020-09-30,23.61,$-2.22,0.0
2020-06-30,33.54,$-1.56,0.0
2020-03-31,40.3,$-1.48,0.0
2019-12-31,41.09,$-1.43,0.0
2019-09-30,21.55,$0.13,171.03
2019-06-30,21.99,$-2.95,0.0
