BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data,BOK Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,102.57,,5.09
2024-12-31,106.45,$20.14,5.28
2024-09-30,104.1,$4.77,21.84
2024-06-30,90.68,$17.53,5.17
2024-03-31,90.51,$-35.08,0.0
2023-12-31,83.69,$-0.91,0.0
2023-09-30,77.56,$-27.04,0.0
2023-06-30,77.84,$-29.41,0.0
2023-03-31,80.76,$52.71,1.53
2022-12-31,98.79,$73.91,1.34
2022-09-30,84.14,$54.27,1.55
2022-06-30,71.17,$46.85,1.52
2022-03-31,87.92,$6.63,13.26
2021-12-31,98.21,$-54.40,0.0
2021-09-30,82.96,$-12.38,0.0
2021-06-30,79.75,$-25.04,0.0
2021-03-31,81.79,$14.83,5.52
2020-12-31,62.32,$-6.93,0.0
2020-09-30,46.52,$10.67,4.36
2020-06-30,50.54,$10.87,4.65
2020-03-31,37.72,$-20.31,0.0
2019-12-31,76.96,$-11.24,0.0
2019-09-30,69.27,$-20.88,0.0
2019-06-30,65.65,$-5.75,0.0
2019-03-31,70.51,$-22.73,0.0
2018-12-31,63.03,$-9.11,0.0
2018-09-30,83.16,$0.77,107.37
2018-06-30,79.96,$-14.98,0.0
2018-03-31,83.83,$3.13,26.76
2017-12-31,77.79,$3.68,21.17
2017-09-30,74.65,$3.68,20.31
2017-06-30,70.13,$-1.61,0.0
2017-03-31,64.91,$-2.94,0.0
2016-12-31,68.49,$-1.43,0.0
2016-09-30,56.55,$-6.09,0.0
2016-06-30,51.08,$7.19,7.11
2016-03-31,44.17,$6.06,7.28
2015-12-31,47.93,$3.34,14.34
2015-09-30,51.56,$2.18,23.7
2015-06-30,55.08,$-0.53,0.0
2015-03-31,48.15,$-5.08,0.0
2014-12-31,46.89,$-1.03,0.0
2014-09-30,51.6,$1.57,32.95
2014-06-30,51.38,$7.66,6.71
2014-03-31,52.94,$9.08,5.83
2013-12-31,50.53,$11.05,4.57
2013-09-30,47.96,$10.15,4.73
2013-06-30,48.21,$6.25,7.72
2013-03-31,46.62,$7.89,5.91
2012-12-31,40.49,$9.82,4.12
2012-09-30,42.86,$10.41,4.12
2012-06-30,41.93,$10.10,4.15
2012-03-31,40.28,$5.19,7.77
2011-12-31,39.07,$5.79,6.75
2011-09-30,33.15,$5.79,5.72
2011-06-30,38.48,$7.30,5.27
2011-03-31,36.12,$10.64,3.4
2010-12-31,37.14,$5.00,7.43
2010-09-30,31.23,$2.92,10.71
2010-06-30,32.67,$4.48,7.3
2010-03-31,35.93,$7.31,4.92
2009-12-31,32.4,$4.15,7.8
