CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data,CSW Industrials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,292.66,,32.75
2024-12-31,352.8,$8.94,39.48
2024-09-30,366.15,$11.62,31.52
2024-06-30,264.95,$10.64,24.91
2024-03-31,234.08,$9.73,24.06
2023-12-31,206.76,$10.50,19.69
2023-09-30,174.5,$9.86,17.7
2023-06-30,165.31,$8.89,18.6
2023-03-31,138.0,$6.92,19.93
2022-12-31,115.01,$4.42,26.01
2022-09-30,118.69,$3.76,31.55
2022-06-30,101.93,$3.20,31.81
2022-03-31,116.15,$3.39,34.27
2021-12-31,119.22,$4.90,24.35
2021-09-30,125.83,$3.87,32.48
2021-06-30,116.57,$4.51,25.87
2021-03-31,132.71,$4.20,31.56
2020-12-31,109.89,$3.59,30.64
2020-09-30,75.73,$4.44,17.06
2020-06-30,67.61,$4.29,15.77
2020-03-31,63.32,$3.93,16.11
2019-12-31,75.05,$4.05,18.55
2019-09-30,67.15,$4.39,15.28
2019-06-30,66.17,$3.61,18.34
2019-03-31,55.5,$3.82,14.51
2018-12-31,46.84,$3.50,13.39
2018-09-30,52.03,$2.65,19.66
2018-06-30,51.2,$2.58,19.86
2018-03-31,43.65,$2.44,17.88
2017-12-31,44.52,$2.58,17.24
2017-09-30,42.97,$2.60,16.5
2017-06-30,37.44,$2.54,14.76
2017-03-31,35.56,$2.07,17.18
2016-12-31,35.7,$1.72,20.79
2016-09-30,31.38,$2.96,10.58
