First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data,First Merchants Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.86,,8.98
2024-12-31,39.89,$4.55,8.77
2024-09-30,36.9,$4.51,8.18
2024-06-30,32.71,$4.54,7.2
2024-03-31,33.91,$3.87,8.76
2023-12-31,35.67,$4.35,8.2
2023-09-30,26.47,$5.71,4.63
2023-06-30,26.55,$5.20,5.1
2023-03-31,30.61,$5.44,5.62
2022-12-31,37.88,$4.91,7.72
2022-09-30,35.38,$3.43,10.3
2022-06-30,32.32,$3.84,8.43
2022-03-31,37.46,$3.95,9.48
2021-12-31,37.47,$3.99,9.39
2021-09-30,37.16,$4.08,9.11
2021-06-30,36.75,$3.39,10.85
2021-03-31,40.75,$3.43,11.87
2020-12-31,32.59,$3.76,8.67
2020-09-30,20.03,$3.45,5.8
2020-06-30,23.6,$3.88,6.08
2020-03-31,22.47,$3.68,6.11
2019-12-31,35.01,$3.43,10.22
2019-09-30,31.48,$3.54,8.89
2019-06-30,31.24,$3.67,8.52
2019-03-31,30.16,$4.06,7.42
2018-12-31,27.9,$3.64,7.66
2018-09-30,36.42,$3.91,9.32
2018-06-30,37.39,$3.08,12.15
2018-03-31,33.44,$2.56,13.08
2017-12-31,33.58,$2.79,12.05
2017-09-30,34.13,$2.19,15.58
2017-06-30,31.77,$3.09,10.27
2017-03-31,30.98,$2.78,11.14
2016-12-31,29.56,$2.53,11.69
2016-09-30,20.91,$2.04,10.25
2016-06-30,19.38,$1.33,14.6
2016-03-31,18.23,$1.63,11.2
2015-12-31,19.57,$1.49,13.15
2015-09-30,20.1,$2.05,9.8
2015-06-30,18.85,$2.24,8.41
2015-03-31,17.89,$2.36,7.58
2014-12-31,17.23,$2.07,8.3
2014-09-30,15.25,$5.27,2.89
2014-06-30,15.89,$5.38,2.95
2014-03-31,16.2,$5.88,2.76
2013-12-31,16.97,$6.10,2.78
2013-09-30,12.91,$3.08,4.19
2013-06-30,12.74,$2.64,4.82
2013-03-31,11.46,$2.48,4.62
2012-12-31,10.97,$2.44,4.5
2012-09-30,11.07,$2.29,4.84
2012-06-30,9.17,$2.28,4.03
2012-03-31,9.06,$1.83,4.96
2011-12-31,6.21,$3.20,1.94
2011-09-30,5.16,$3.48,1.48
2011-06-30,6.54,$3.71,1.76
2011-03-31,6.03,$3.59,1.68
2010-12-31,6.47,$3.29,1.97
2010-09-30,5.56,$3.14,1.77
2010-06-30,6.17,$2.39,2.59
2010-03-31,5.06,$2.46,2.06
2009-12-31,4.31,$0.83,5.17
