Bone Biologics Price to Free Cash Flow Ratio Historical Data,Bone Biologics Price to Free Cash Flow Ratio Historical Data,Bone Biologics Price to Free Cash Flow Ratio Historical Data,Bone Biologics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.82,,0.0
2024-12-31,0.94,$-2.72,0.0
2024-09-30,2.13,$-18.66,0.0
2024-06-30,1.22,$-23.50,0.0
2024-03-31,2.13,$-18.20,0.0
2023-12-31,4.52,$-36.32,0.0
2023-09-30,5.68,$-56.61,0.0
2023-06-30,11.44,$-61.23,0.0
2023-03-31,62.04,$-74.95,0.0
2022-12-31,50.33,$-74.84,0.0
2022-09-30,252.0,$-102.48,0.0
