Scully Royalty Price to Free Cash Flow Ratio Historical Data,Scully Royalty Price to Free Cash Flow Ratio Historical Data,Scully Royalty Price to Free Cash Flow Ratio Historical Data,Scully Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.14,,98.31
2017-12-31,5.89,$0.08,71.15
2017-09-30,7.1,$-0.88,0.0
2017-06-30,6.73,$1.06,6.37
2017-03-31,6.73,$-1.04,0.0
2016-12-31,7.37,$5.06,1.46
