Sypris Solutions Price to Free Cash Flow Ratio Historical Data,Sypris Solutions Price to Free Cash Flow Ratio Historical Data,Sypris Solutions Price to Free Cash Flow Ratio Historical Data,Sypris Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.61,,0.0
2024-09-30,1.6,$-0.19,0.0
2024-06-30,1.92,$-0.52,0.0
2024-03-31,1.59,$-0.61,0.0
2023-12-31,2.03,$-0.60,0.0
2023-09-30,1.91,$-0.22,0.0
2023-06-30,2.04,$0.77,2.65
2023-03-31,1.97,$0.59,3.34
2022-12-31,2.05,$0.50,4.14
2022-09-30,1.86,$0.30,6.21
2022-06-30,2.32,$-0.44,0.0
2022-03-31,2.69,$-0.04,0.0
2021-12-31,2.46,$0.06,39.74
2021-09-30,3.57,$0.17,21.57
2021-06-30,3.72,$0.51,7.25
2021-03-31,3.33,$0.09,38.01
2020-12-31,1.52,$0.19,7.86
2020-09-30,1.11,$-0.05,0.0
2020-06-30,0.73,$0.05,14.16
2020-03-31,0.62,$0.03,20.85
2019-12-31,0.78,$-0.23,0.0
2019-09-30,1.05,$-0.03,0.0
2019-06-30,0.78,$-0.10,0.0
2019-03-31,1.08,$-0.14,0.0
2018-12-31,0.78,$0.06,13.11
2018-09-30,1.36,$-0.10,0.0
2018-06-30,1.64,$-0.32,0.0
2018-03-31,1.63,$-0.52,0.0
2017-12-31,1.38,$-0.41,0.0
2017-09-30,1.44,$-0.64,0.0
2017-06-30,1.65,$1.12,1.47
2017-03-31,1.06,$1.29,0.82
2016-12-31,0.88,$1.54,0.57
2016-09-30,1.03,$1.70,0.61
2016-06-30,0.85,$0.83,1.02
2016-03-31,0.95,$0.63,1.51
2015-12-31,1.09,$0.02,45.8
2015-09-30,1.21,$-0.05,0.0
2015-06-30,1.45,$-0.83,0.0
2015-03-31,2.2,$-0.50,0.0
2014-12-31,2.66,$-0.11,0.0
2014-09-30,3.26,$0.01,0.0
2014-06-30,5.51,$-0.03,0.0
2014-03-31,2.72,$-0.15,0.0
2013-12-31,2.99,$-0.16,0.0
2013-09-30,3.03,$-0.55,0.0
2013-06-30,3.1,$-0.26,0.0
2013-03-31,4.01,$-0.42,0.0
2012-12-31,3.78,$-0.38,0.0
2012-09-30,6.78,$0.35,19.39
2012-06-30,6.6,$0.70,9.37
2012-03-31,3.82,$0.97,3.96
2011-12-31,3.68,$0.82,4.48
2011-09-30,2.72,$0.63,4.35
2011-06-30,3.87,$0.06,63.52
2011-03-31,3.98,$0.12,32.96
2010-12-31,3.99,$0.05,79.17
2010-09-30,2.91,$0.05,59.4
2010-06-30,3.77,$0.11,32.88
2010-03-31,3.13,$0.33,9.61
2009-12-31,2.65,$-0.11,0.0
