Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data,Paycom Software Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,215.43,,35.57
2024-12-31,204.97,$6.06,33.84
2024-09-30,166.3,$5.48,30.35
2024-06-30,142.49,$5.44,26.2
2024-03-31,197.81,$5.01,39.49
2023-12-31,205.05,$5.04,40.66
2023-09-30,256.64,$5.21,49.27
2023-06-30,317.57,$5.16,61.6
2023-03-31,300.13,$4.39,68.36
2022-12-31,306.35,$3.99,76.72
2022-09-30,325.78,$3.45,94.43
2022-06-30,276.55,$3.72,74.41
2022-03-31,341.96,$3.74,91.5
2021-12-31,409.89,$3.41,120.06
2021-09-30,489.43,$3.01,162.79
2021-06-30,358.83,$2.78,129.1
2021-03-31,365.34,$2.42,151.06
2020-12-31,446.48,$2.28,195.51
2020-09-30,307.33,$2.18,141.11
2020-06-30,305.78,$1.69,181.3
2020-03-31,199.43,$2.09,95.49
2019-12-31,261.38,$2.25,116.22
2019-09-30,206.82,$2.20,93.95
2019-06-30,223.83,$2.48,90.18
2019-03-31,186.72,$2.60,71.93
2018-12-31,120.89,$2.13,56.7
2018-09-30,153.43,$2.10,72.91
2018-06-30,97.57,$1.79,54.39
2018-03-31,106.02,$1.33,79.56
2017-12-31,79.31,$1.20,65.89
2017-09-30,74.0,$1.05,70.21
2017-06-30,67.54,$0.99,68.16
2017-03-31,56.78,$1.10,51.65
2016-12-31,44.91,$0.94,47.88
2016-09-30,49.49,$0.76,64.81
2016-06-30,42.66,$0.67,64.15
2016-03-31,35.15,$0.64,55.09
2015-12-31,37.15,$0.46,81.43
2015-09-30,35.45,$0.54,65.54
2015-06-30,33.71,$0.53,63.76
2015-03-31,31.65,$0.34,92.12
