Vaalco Energy Inc Price to Free Cash Flow Ratio Historical Data,Vaalco Energy Inc Price to Free Cash Flow Ratio Historical Data,Vaalco Energy Inc Price to Free Cash Flow Ratio Historical Data,Vaalco Energy Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.94,,10.58
2024-09-30,5.67,$0.37,15.24
2024-06-30,6.14,$0.71,8.68
2024-03-31,6.75,$1.10,6.12
2023-12-31,4.29,$1.19,3.62
2023-09-30,4.14,$0.01,0.0
2023-06-30,3.49,$-0.38,0.0
2023-03-31,4.15,$0.09,45.16
2022-12-31,4.11,$-0.44,0.0
2022-09-30,3.91,$0.36,10.96
2022-06-30,6.18,$0.57,10.9
2022-03-31,5.79,$0.16,36.65
2021-12-31,2.83,$0.57,4.95
2021-09-30,2.59,$0.84,3.1
2021-06-30,2.86,$0.28,10.3
2021-03-31,1.97,$-0.13,0.0
2020-12-31,1.56,$0.13,12.07
2020-09-30,0.88,$-0.22,0.0
2020-06-30,1.09,$0.02,63.14
2020-03-31,0.79,$0.33,2.38
2019-12-31,1.96,$0.27,7.17
2019-09-30,1.79,$0.44,4.03
2019-06-30,1.47,$0.15,10.07
2019-03-31,1.97,$0.34,5.73
2018-12-31,1.3,$0.38,3.37
2018-09-30,2.41,$0.46,5.18
2018-06-30,2.41,$0.59,4.07
2018-03-31,0.76,$0.32,2.39
2017-12-31,0.61,$0.13,4.88
2017-09-30,0.72,$0.12,6.06
2017-06-30,0.82,$0.05,18.26
2017-03-31,0.81,$-0.05,0.0
2016-12-31,0.92,$-0.14,0.0
2016-09-30,0.82,$-0.45,0.0
2016-06-30,0.93,$-0.41,0.0
2016-03-31,0.83,$-0.03,0.0
2015-12-31,1.41,$-0.49,0.0
2015-09-30,1.5,$-1.19,0.0
2015-06-30,1.89,$-1.21,0.0
2015-03-31,2.16,$-0.79,0.0
2014-12-31,4.02,$-1.16,0.0
2014-09-30,7.49,$0.25,29.38
2014-06-30,6.37,$0.82,7.76
2014-03-31,7.53,$-0.24,0.0
2013-12-31,6.07,$0.15,41.26
2013-09-30,4.92,$0.01,346.18
2013-06-30,5.04,$-0.50,0.0
2013-03-31,6.69,$-0.16,0.0
2012-12-31,7.62,$0.37,20.34
2012-09-30,7.53,$0.47,15.9
2012-06-30,7.6,$0.49,15.37
2012-03-31,8.33,$0.93,8.98
2011-12-31,5.32,$0.99,5.35
2011-09-30,4.28,$0.38,11.37
2011-06-30,5.3,$0.58,9.12
2011-03-31,6.84,$0.05,146.39
2010-12-31,6.31,$0.10,65.36
2010-09-30,5.06,$0.33,15.12
2010-06-30,4.93,$0.03,141.36
2010-03-31,4.35,$0.25,17.71
2009-12-31,4.01,$-0.56,0.0
