Wireless Ronin Technologies Price to Free Cash Flow Ratio Historical Data,Wireless Ronin Technologies Price to Free Cash Flow Ratio Historical Data,Wireless Ronin Technologies Price to Free Cash Flow Ratio Historical Data,Wireless Ronin Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.1,,37.77
2024-12-31,2.45,$0.06,44.06
2024-09-30,4.59,$-0.23,0.0
2024-06-30,4.69,$-0.17,0.0
2024-03-31,3.77,$-0.14,0.0
2023-12-31,2.36,$0.13,17.56
2023-09-30,1.55,$0.41,3.75
2023-06-30,3.05,$0.14,21.17
2023-03-31,2.22,$-0.45,0.0
2022-12-31,1.74,$-0.75,0.0
2022-09-30,1.8,$-0.54,0.0
2022-06-30,1.83,$-0.37,0.0
2022-03-31,2.47,$-0.05,0.0
2021-12-31,4.2,$-0.18,0.0
2021-09-30,4.05,$-0.08,0.0
2021-06-30,6.51,$-0.36,0.0
2021-03-31,5.49,$-1.15,0.0
2020-12-31,3.87,$-1.23,0.0
2020-09-30,2.94,$-1.87,0.0
2020-06-30,7.47,$-1.24,0.0
2020-03-31,2.35,$-0.55,0.0
2019-12-31,4.59,$-0.57,0.0
2019-09-30,5.16,$-1.62,0.0
