"Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data","Copa Holdings, S.A Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.55,,12.22
2024-09-30,92.21,$7.74,11.92
2024-06-30,91.89,$11.89,7.73
2024-03-31,100.56,$10.82,9.3
2023-12-31,100.96,$11.18,9.03
2023-09-30,83.89,$16.31,5.14
2023-06-30,103.13,$13.40,7.69
2023-03-31,84.68,$11.91,7.11
2022-12-31,76.26,$10.80,7.06
2022-09-30,61.45,$16.52,3.72
2022-06-30,58.11,$13.41,4.33
2022-03-31,76.69,$13.02,5.89
2021-12-31,75.8,$8.96,8.46
2021-09-30,74.62,$7.75,9.63
2021-06-30,69.07,$4.65,14.86
2021-03-31,74.08,$-2.71,0.0
2020-12-31,70.82,$-0.19,0.0
2020-09-30,46.16,$3.44,13.43
2020-06-30,46.36,$9.00,5.15
2020-03-31,41.53,$17.24,2.41
2019-12-31,98.14,$18.13,5.41
2019-09-30,89.12,$14.01,6.36
2019-06-30,87.5,$11.49,7.62
2019-03-31,71.77,$9.33,7.69
2018-12-31,69.56,$9.99,6.97
2018-09-30,70.56,$11.14,6.33
2018-06-30,82.7,$13.06,6.33
2018-03-31,111.56,$15.47,7.21
2017-12-31,115.52,$14.55,7.94
2017-09-30,106.72,$15.38,6.94
2017-06-30,99.65,$13.62,7.31
2017-03-31,95.17,$12.46,7.64
2016-12-31,76.64,$12.15,6.31
2016-09-30,73.76,$9.14,8.07
2016-06-30,43.56,$7.32,5.95
2016-03-31,55.91,$6.36,8.79
2015-12-31,39.5,$5.44,7.27
2015-09-30,33.78,$8.32,4.06
2015-06-30,65.45,$4.54,14.42
2015-03-31,79.25,$8.18,9.69
2014-12-31,80.77,$6.28,12.85
2014-09-30,82.88,$7.30,11.36
2014-06-30,109.29,$14.18,7.71
2014-03-31,110.54,$16.66,6.63
2013-12-31,121.04,$16.66,7.27
2013-09-30,104.34,$20.82,5.01
2013-06-30,98.08,$16.76,5.85
2013-03-31,89.47,$8.12,11.02
2012-12-31,74.39,$8.12,9.17
2012-09-30,59.39,$8.35,7.12
2012-06-30,60.27,$8.35,7.22
2012-03-31,56.45,$8.35,6.76
2011-12-31,41.82,$8.35,5.01
2011-09-30,43.67,$2.50,17.44
2011-06-30,47.57,$2.50,19.0
2011-03-31,36.66,$2.50,14.64
2010-12-31,40.85,$2.50,16.32
2010-09-30,37.43,$5.29,7.08
2010-06-30,30.7,$5.29,5.8
2010-03-31,41.29,$5.29,7.81
2009-12-31,36.99,$5.29,6.99
