Summit Hotel Properties Price to Free Cash Flow Ratio Historical Data,Summit Hotel Properties Price to Free Cash Flow Ratio Historical Data,Summit Hotel Properties Price to Free Cash Flow Ratio Historical Data,Summit Hotel Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.67,,8.33
2024-12-31,6.85,$0.68,10.06
2024-09-30,6.77,$1.66,4.07
2024-06-30,5.84,$1.20,4.87
2024-03-31,6.27,$0.62,10.06
2023-12-31,6.41,$0.52,12.38
2023-09-30,5.48,$0.41,13.27
2023-06-30,6.08,$0.26,23.43
2023-03-31,6.48,$1.39,4.67
2022-12-31,6.66,$-1.14,0.0
2022-09-30,6.16,$-1.33,0.0
2022-06-30,6.64,$-1.41,0.0
2022-03-31,9.1,$-2.52,0.0
2021-12-31,8.91,$-0.13,0.0
2021-09-30,8.8,$-0.17,0.0
2021-06-30,8.52,$-0.19,0.0
2021-03-31,9.28,$-0.65,0.0
2020-12-31,8.23,$-0.62,0.0
2020-09-30,4.73,$-2.43,0.0
2020-06-30,5.42,$-2.37,0.0
2020-03-31,3.85,$-0.50,0.0
2019-12-31,11.1,$-0.27,0.0
2019-09-30,10.28,$1.93,5.33
2019-06-30,10.0,$2.07,4.83
2019-03-31,9.8,$1.19,8.25
2018-12-31,8.23,$1.23,6.67
2018-09-30,11.25,$-0.45,0.0
2018-06-30,11.75,$-0.46,0.0
2018-03-31,11.03,$-3.10,0.0
2017-12-31,12.2,$-3.58,0.0
2017-09-30,12.66,$-2.76,0.0
2017-06-30,14.6,$-3.14,0.0
2017-03-31,12.38,$-0.46,0.0
2016-12-31,12.29,$-0.06,0.0
2016-09-30,9.98,$1.74,5.75
2016-06-30,9.95,$1.68,5.91
2016-03-31,8.9,$0.13,68.27
2015-12-31,8.77,$0.03,299.34
2015-09-30,8.49,$-0.78,0.0
2015-06-30,9.37,$-1.17,0.0
2015-03-31,10.05,$-0.12,0.0
2014-12-31,8.8,$-1.16,0.0
2014-09-30,7.55,$-1.69,0.0
2014-06-30,7.35,$-0.75,0.0
2014-03-31,6.36,$-3.08,0.0
2013-12-31,6.09,$-5.30,0.0
2013-09-30,6.14,$-9.26,0.0
2013-06-30,6.24,$-9.77,0.0
2013-03-31,6.84,$-7.48,0.0
2012-12-31,6.14,$-5.51,0.0
2012-09-30,5.44,$-1.59,0.0
2012-06-30,5.26,$-1.85,0.0
2012-03-31,4.7,$-3.35,0.0
2011-12-31,5.79,$-2.16,0.0
