Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data,Vulcan Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,238.72,,36.91
2024-12-31,257.23,$6.47,39.77
2024-09-30,250.0,$6.59,37.96
2024-06-30,247.79,$4.63,53.47
2024-03-31,271.46,$5.62,48.28
2023-12-31,225.41,$5.68,39.72
2023-09-30,200.19,$4.89,40.93
2023-06-30,222.97,$5.26,42.41
2023-03-31,169.3,$4.36,38.86
2022-12-31,172.4,$4.30,40.11
2022-09-30,154.92,$3.85,40.24
2022-06-30,139.27,$3.19,43.67
2022-03-31,179.6,$4.07,44.14
2021-12-31,202.51,$5.82,34.79
2021-09-30,164.72,$6.00,27.47
2021-06-30,169.17,$6.83,24.77
2021-03-31,163.67,$7.75,21.12
2020-12-31,143.53,$5.40,26.56
2020-09-30,130.85,$5.92,22.09
2020-06-30,111.55,$5.56,20.07
2020-03-31,103.71,$4.23,24.51
2019-12-31,137.8,$4.67,29.52
2019-09-30,144.42,$3.74,38.58
2019-06-30,130.84,$3.26,40.15
2019-03-31,112.54,$3.14,35.85
2018-12-31,93.65,$2.88,32.5
2018-09-30,105.12,$2.94,35.74
2018-06-30,121.7,$2.71,44.89
2018-03-31,107.42,$1.51,70.91
2017-12-31,120.51,$1.49,80.92
2017-09-30,112.05,$1.75,63.88
2017-06-30,118.42,$1.71,69.4
2017-03-31,112.4,$2.20,51.16
2016-12-31,116.52,$2.34,49.79
2016-09-30,105.72,$2.15,49.23
2016-06-30,111.69,$2.05,54.46
2016-03-31,97.8,$1.84,53.11
2015-12-31,87.8,$1.77,49.73
2015-09-30,82.39,$0.98,84.28
2015-06-30,77.44,$0.42,184.28
2015-03-31,77.69,$0.51,153.33
2014-12-31,60.51,$0.47,129.39
2014-09-30,55.39,$-0.44,0.0
2014-06-30,58.57,$0.98,59.47
2014-03-31,61.0,$0.79,76.99
2013-12-31,54.51,$0.75,72.61
2013-09-30,47.52,$2.38,19.97
2013-06-30,44.39,$1.04,42.69
2013-03-31,47.4,$1.29,36.84
2012-12-31,47.71,$1.74,27.4
2012-09-30,43.35,$0.78,55.73
2012-06-30,36.38,$0.86,42.41
2012-03-31,39.14,$0.65,60.05
2011-12-31,36.04,$0.65,55.64
2011-09-30,25.23,$0.91,27.83
2011-06-30,35.01,$0.88,39.72
2011-03-31,41.17,$1.27,32.41
2010-12-31,39.82,$1.02,39.23
2010-09-30,32.93,$1.44,22.84
2010-06-30,38.84,$1.87,20.78
2010-03-31,41.65,$2.18,19.1
2009-12-31,46.18,$3.02,15.27
