National Energy Services Reunited Price to Free Cash Flow Ratio Historical Data,National Energy Services Reunited Price to Free Cash Flow Ratio Historical Data,National Energy Services Reunited Price to Free Cash Flow Ratio Historical Data,National Energy Services Reunited Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.0,,11.09
2024-09-30,2.65,$0.72,3.67
2024-06-30,2.65,$0.24,11.28
2023-12-31,2.65,0,0.0
2023-09-30,2.65,$1.14,2.32
2023-06-30,2.65,$0.81,3.28
2021-03-31,12.37,$1.02,12.08
2020-12-31,9.93,$0.48,20.78
2020-09-30,6.38,$0.44,14.52
2020-06-30,6.88,$0.20,35.12
2020-03-31,5.08,$-0.55,0.0
2019-12-31,9.12,$-0.20,0.0
2019-09-30,6.68,$-0.24,0.0
2019-06-30,8.7,$-0.24,0.0
2019-03-31,10.45,$0.59,17.86
2018-12-31,8.66,$0.39,22.19
2018-09-30,11.62,$0.16,72.49
2018-06-30,10.35,$0.26,39.9
2018-03-31,9.93,$0.00,0.0
