Shore Bancshares Inc Price to Free Cash Flow Ratio Historical Data,Shore Bancshares Inc Price to Free Cash Flow Ratio Historical Data,Shore Bancshares Inc Price to Free Cash Flow Ratio Historical Data,Shore Bancshares Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.88,,10.4
2024-12-31,15.85,$1.33,11.88
2024-09-30,13.89,$1.52,9.15
2024-06-30,11.26,$0.24,46.05
2024-03-31,11.19,$0.14,78.13
2023-12-31,13.72,$0.66,20.85
2023-09-30,10.03,$-0.37,0.0
2023-06-30,10.9,$0.93,11.7
2023-03-31,13.32,$1.84,7.24
2022-12-31,16.14,$2.53,6.38
2022-09-30,15.95,$0.51,31.3
2022-06-30,16.93,$0.44,38.63
2022-03-31,18.63,$0.12,157.59
2021-12-31,18.85,$-0.83,0.0
2021-09-30,15.94,$1.73,9.19
2021-06-30,14.95,$1.44,10.36
2021-03-31,15.09,$1.32,11.4
2020-12-31,12.84,$1.30,9.9
2020-09-30,9.56,$0.96,9.98
2020-06-30,9.54,$1.26,7.57
2020-03-31,9.21,$0.56,16.51
2019-12-31,14.62,$0.90,16.19
2019-09-30,12.89,$1.05,12.24
2019-06-30,13.57,$1.14,11.92
2019-03-31,12.31,$1.80,6.86
2018-12-31,11.93,$1.35,8.86
2018-09-30,14.54,$1.30,11.18
2018-06-30,15.45,$1.48,10.43
2018-03-31,15.25,$1.32,11.59
2017-12-31,13.45,$1.44,9.37
2017-09-30,13.36,$1.47,9.1
2017-06-30,13.16,$1.23,10.7
2017-03-31,13.32,$1.41,9.43
2016-12-31,12.13,$1.45,8.38
2016-09-30,9.33,$1.36,6.86
2016-06-30,9.28,$1.36,6.8
2016-03-31,9.44,$1.22,7.73
2015-12-31,8.55,$1.08,7.95
2015-09-30,7.62,$1.03,7.4
2015-06-30,7.38,$0.88,8.39
2015-03-31,7.19,$0.71,10.07
2014-12-31,7.31,$1.01,7.21
2014-09-30,7.05,$1.76,3.99
2014-06-30,7.05,$1.64,4.3
2014-03-31,7.45,$2.16,3.44
2013-12-31,7.22,$2.28,3.16
2013-09-30,6.89,$2.07,3.32
2013-06-30,5.76,$2.33,2.48
2013-03-31,5.32,$2.32,2.29
2012-12-31,4.22,$2.31,1.83
2012-09-30,4.71,$2.05,2.3
2012-06-30,4.68,$2.39,1.96
2012-03-31,5.55,$2.40,2.31
2011-12-31,4.02,$2.45,1.64
2011-09-30,3.4,$2.56,1.33
2011-06-30,5.43,$2.32,2.34
2011-03-31,7.58,$2.28,3.33
2010-12-31,8.15,$2.20,3.7
2010-09-30,7.28,$1.91,3.81
2010-06-30,9.1,$1.80,5.06
2010-03-31,10.84,$1.65,6.56
2009-12-31,10.97,$1.60,6.86
